run,anchor,community,size,representatives,sample,boundary_words
pca200-fullfit-t0.686-r0.1-run02,妈妈,27,110,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 哥哥 嫂子 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 母女 父子 亲友 朋友 宝宝 夫妇
pca200-fullfit-t0.686-r0.1-run02,为什么,168,28,怎么 什么 怎样 呢 究竟 哪里 哪儿 干什么 谁 哪 到底 吗,怎么 请问 到底 有没有 吗 呢 哪 哪儿 为什么 哪些 不知 干什么,为何 为什么 多久 干吗 不知 怎么样 吗 呢
pca200-fullfit-t0.686-r0.1-run02,公斤,364,24,公斤 千克 斤 吨 磅 平方米 公顷 立方米 亩 米 厘米 公里,倍 克 元 吨 寸 尺 亩 磅 米 斤 桶 平方米,立方米 平方 倍 美元 马力 桶 克 毫米
pca200-fullfit-t0.686-r0.1-run02,花,317,8,挣 赚 钱 买 掏钱 卖 花 金钱,卖 买 掏钱 挣 钱 花 赚 金钱,金钱 买 花 卖 掏钱 赚 挣 钱
pca200-fullfit-t0.686-r0.1-run02,行,1255,1,行,行,行
pca200-fullfit-t0.686-r0.1-run03,苹果,1239,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.1-run03,牛奶,76,162,米饭 豆腐 酸奶 橙汁 豆浆 薯片 果酱 薯条 香肠 饼干 果汁 水果,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,洗衣粉 酒 餐 热腾腾 晚餐 纯净水 葡萄酒 碗
pca200-fullfit-t0.686-r0.1-run03,咖啡,76,162,米饭 豆腐 酸奶 橙汁 豆浆 薯片 果酱 薯条 香肠 饼干 果汁 水果,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,洗衣粉 酒 餐 热腾腾 晚餐 纯净水 葡萄酒 碗
pca200-fullfit-t0.686-r0.1-run03,衬衫,106,69,衬衣 衬衫 毛衣 大衣 裙子 上衣 衣服 外套 裤子 袜子 围巾 短裤,眼镜 背包 背心 拖鞋 穿 婚纱 纱 内衣 戴 睡袋 纽扣 球鞋,时装 牙刷 绷带 背包 书包 手表 纱 丝绸
pca200-fullfit-t0.686-r0.1-run03,足球,289,40,体操 乒乓球 田径 篮球 网球 举重 羽毛球 排球 滑冰 游泳 摔跤 棒球,运动 帆船 网球 球拍 举重 武术 滑冰 游泳 健美 羽毛球 乒乓球 跳高,教练 体育 打球 健身 杠铃 赛车 跳伞 足球
pca200-fullfit-t0.686-r0.1-run03,老师,27,113,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 母亲 爸爸 哥哥 妈妈 姥姥 爸,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 他 宝宝 小姐 姐妹 女人 她
pca200-fullfit-t0.686-r0.1-run03,焦虑,149,111,沮丧 羞愧 气愤 难过 伤心 惊讶 茫然 惋惜 诧异 惭愧 伤感 慌张,惊慌失措 怜惜 疲倦 吃惊 慌乱 犹豫 得意 沮丧 慌张 迷惑不解 绝望 惊奇,忧虑 丢脸 疲惫 疲倦 遗憾 怨恨 震惊 感动
pca200-fullfit-t0.686-r0.1-run03,政策,655,19,实施 制订 制定 实行 推行 施行 出台 落实 颁布 试行 开展 贯彻,颁布 制订 实施 开展 起草 组织 搞好 试行 落实 制定 采取 出台,组织 政策 搞好 开展 措施 采取 贯彻 起草
pca200-fullfit-t0.686-r0.1-run03,合同,595,17,协议 签订 签署 协议书 协定 合同 订立 条约 约定 签 公约 契约,签订 协议书 条约 条款 签字 签 签署 签约 意向 契约 协议 约定,签字 意向 协议 约定 生效 协议书 公约 条款
pca200-fullfit-t0.686-r0.1-run03,银行,16,29,存折 银行卡 支票 挂失 汇款 身份证 信用卡 取款 发票 收据 账单 证件,取款 密码 银行 卡 挂失 一卡通 取款机 印章 信用卡 欠条 凭证 汇款,证件 银行 取款机 钞票 话费 印章 一卡通 护照
pca200-fullfit-t0.686-r0.1-run03,软件,1127,10,软件 硬件 设备 服务器 计算机 芯片 部件 杀毒 黑客 装置,软件 部件 计算机 服务器 硬件 芯片 杀毒 装置 黑客 设备,部件 装置 芯片 黑客 设备 杀毒 计算机 服务器
pca200-fullfit-t0.686-r0.1-run03,感冒,244,56,急性 病症 疾病 炎症 慢性 癌症 症状 抑郁症 发病 复发 糖尿病 腹泻,疗效 传染病 骨折 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 患 肥胖,失眠 副作用 生病 抑郁 疼痛 疗效 职业病 骨折
pca200-fullfit-t0.686-r0.1-run03,火车,108,39,列车 火车 车票 卧铺 乘客 慢车 公共汽车 客运 车站 大巴 旅客 乘坐,客运 乘车 乘 旅客 缆车 晚点 火车 航班 行李 地铁 快车 站台,座位 机票 上车 票价 登机 售票 退票 车票
pca200-fullfit-t0.686-r0.1-run03,妈妈,27,113,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 母亲 爸爸 哥哥 妈妈 姥姥 爸,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 他 宝宝 小姐 姐妹 女人 她
pca200-fullfit-t0.686-r0.1-run03,为什么,169,27,怎么 什么 怎样 究竟 哪里 哪儿 谁 哪 干什么 到底 怎么样 什么样,怎么 请问 到底 有没有 吗 哪 哪儿 为什么 哪些 不知 干什么 之所以,这么 之所以 不知 吗 什么样 如何 请问 到底
pca200-fullfit-t0.686-r0.1-run03,公斤,358,23,公斤 千克 斤 磅 吨 平方米 公顷 立方米 亩 米 公里 厘米,克 元 吨 寸 尺 亩 磅 米 斤 桶 平方米 公顷,立方米 平方 元 美元 桶 美金 毫米 马力
pca200-fullfit-t0.686-r0.1-run03,花,922,5,钱 私房钱 花 零钱 大笔,零钱 大笔 钱 花 私房钱,大笔 花 零钱 私房钱 钱
pca200-fullfit-t0.686-r0.1-run03,行,1241,1,行,行,行
pca200-fullfit-t0.686-r0.1-run04,苹果,1234,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.1-run04,牛奶,73,160,米饭 豆腐 酸奶 橙汁 水果 薯片 豆浆 薯条 果汁 果酱 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 鲜 香味 风味 晚餐 啤酒 碗 葡萄酒
pca200-fullfit-t0.686-r0.1-run04,咖啡,73,160,米饭 豆腐 酸奶 橙汁 水果 薯片 豆浆 薯条 果汁 果酱 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 鲜 香味 风味 晚餐 啤酒 碗 葡萄酒
pca200-fullfit-t0.686-r0.1-run04,衬衫,104,69,衬衣 衬衫 毛衣 大衣 裙子 上衣 衣服 外套 裤子 袜子 围巾 短裤,眼镜 背包 背心 拖鞋 穿 婚纱 纱 内衣 戴 睡袋 纽扣 球鞋,蚊帐 睡袋 被子 纱 牙刷 打扮 首饰 装扮
pca200-fullfit-t0.686-r0.1-run04,足球,283,45,体操 乒乓球 田径 篮球 羽毛球 网球 排球 游泳 滑冰 举重 摔跤 棒球,俱乐部 运动 登山 帆船 网球 球拍 举重 武术 球员 滑冰 潜水 游泳,球员 球队 爬山 教练 打球 俱乐部 健身 帆船
pca200-fullfit-t0.686-r0.1-run04,老师,26,115,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 小姐 亲友 朋友 家人 夫妇 他
pca200-fullfit-t0.686-r0.1-run04,焦虑,149,110,沮丧 羞愧 气愤 难过 茫然 伤心 惊讶 惋惜 诧异 慌张 惭愧 伤感,惊慌失措 怜惜 疲倦 吃惊 慌乱 犹豫 得意 沮丧 慌张 迷惑不解 绝望 惊奇,犹豫 痛心 疲倦 震惊 厌烦 不服气 庆幸 迟疑
pca200-fullfit-t0.686-r0.1-run04,政策,509,20,制定 制订 实施 颁布 出台 实行 推行 施行 试行 落实 贯彻 起草,颁布 制订 实施 起草 发布 搞好 试行 落实 制定 修订 采取 拟定,搞好 公布 政策 发布 采取 修订 试行 贯彻
pca200-fullfit-t0.686-r0.1-run04,合同,591,24,协议 协定 签署 协议书 签订 订立 条约 公约 合同 条款 宣言 契约,签订 宣言 协议书 条约 决议 条款 签字 签 签署 签约 契约 协议,议程 纲要 约定 签字 草案 决议 达成 生效
pca200-fullfit-t0.686-r0.1-run04,银行,225,8,信贷 金融 房地产 银行 中介 信用 消费 开发商,银行 中介 房地产 消费 信贷 信用 金融 开发商,信用 开发商 银行 消费 中介 房地产 信贷 金融
pca200-fullfit-t0.686-r0.1-run04,软件,611,11,硬盘 服务器 磁盘 软件 内存 硬件 计算机 芯片 杀毒 数据库 黑客,数据库 软件 计算机 服务器 硬盘 硬件 芯片 磁盘 杀毒 内存 黑客,芯片 黑客 数据库 计算机 硬件 杀毒 软件 磁盘
pca200-fullfit-t0.686-r0.1-run04,感冒,241,51,急性 疾病 病症 癌症 慢性 抑郁症 发病 糖尿病 心脏病 病 症状 患病,疗效 传染病 骨折 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 患 肥胖,疗效 服用 失眠 昏迷 生病 艾滋病 治疗 休克
pca200-fullfit-t0.686-r0.1-run04,火车,106,46,列车 火车 公交车 公共汽车 车票 车站 乘客 电车 慢车 卧铺 大巴 乘车,机场 客运 乘车 出租车 乘 旅客 隧道 打车 缆车 晚点 火车 航班,车厢 机票 上车 车上 隧道 行李 售票 退票
pca200-fullfit-t0.686-r0.1-run04,妈妈,26,115,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 小姐 亲友 朋友 家人 夫妇 他
pca200-fullfit-t0.686-r0.1-run04,为什么,166,28,怎么 什么 怎样 呢 究竟 哪里 哪儿 干什么 谁 哪 到底 吗,怎么 请问 到底 有没有 吗 呢 哪 哪儿 为什么 哪些 不知 干什么,为何 为什么 不知 什么样 多久 如何 请问 怎么样
pca200-fullfit-t0.686-r0.1-run04,公斤,379,19,公斤 千克 吨 立方米 斤 平方米 磅 公顷 公里 元 米 美金,克 元 吨 磅 米 立方 斤 桶 人次 平方米 公顷 公里,元 克 美元 美金 桶 平方 人次 立方
pca200-fullfit-t0.686-r0.1-run04,花,312,11,挣 赚 攒 钱 零花钱 买 花 卖 私房钱 弄 积蓄,零花钱 卖 弄 买 攒 挣 钱 花 赚 私房钱 积蓄,积蓄 弄 卖 花 私房钱 买 挣 赚
pca200-fullfit-t0.686-r0.1-run04,行,1237,1,行,行,行
pca200-fullfit-t0.686-r0.1-run05,苹果,1231,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.1-run05,牛奶,76,157,米饭 豆腐 酸奶 橙汁 薯片 豆浆 水果 薯条 果酱 果汁 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 口味 餐 晚餐 鲜 碗 葡萄酒 啤酒
pca200-fullfit-t0.686-r0.1-run05,咖啡,76,157,米饭 豆腐 酸奶 橙汁 薯片 豆浆 水果 薯条 果酱 果汁 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 口味 餐 晚餐 鲜 碗 葡萄酒 啤酒
pca200-fullfit-t0.686-r0.1-run05,衬衫,107,70,衬衣 毛衣 衬衫 大衣 裙子 衣服 上衣 外套 裤子 袜子 围巾 短裤,眼镜 背包 背心 枕头 拖鞋 穿 婚纱 纱 内衣 睡袋 纽扣 球鞋,蚊帐 睡袋 被子 首饰 水壶 时装 毯子 项链
pca200-fullfit-t0.686-r0.1-run05,足球,289,45,乒乓球 体操 田径 篮球 网球 羽毛球 排球 举重 游泳 滑冰 棒球 摔跤,俱乐部 运动 帆船 网球 球拍 举重 武术 球员 滑冰 游泳 健美 羽毛球,球队 联赛 健身 打球 长跑 球员 俱乐部 帆船
pca200-fullfit-t0.686-r0.1-run05,老师,28,115,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 爸爸 母亲 哥哥 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,宝宝 娃娃 他 女人 你 我 爱人 老人
pca200-fullfit-t0.686-r0.1-run05,焦虑,146,94,沮丧 羞愧 难过 伤心 气愤 慌张 茫然 悲伤 伤感 焦躁 绝望 悔恨,惊慌失措 怜惜 疲倦 慌乱 犹豫 沮丧 慌张 绝望 垂头丧气 不安 伤感 惋惜,惊慌失措 消沉 惊慌 疑惑 遗憾 困惑 过意不去 丢脸
pca200-fullfit-t0.686-r0.1-run05,政策,648,21,实施 制定 实行 制订 推行 出台 施行 颁布 试行 开展 落实 贯彻,颁布 制订 实施 开展 起草 发布 搞好 试行 落实 推出 制定 采取,发布 进行 搞好 贯彻 试点 政策 推出 采取
pca200-fullfit-t0.686-r0.1-run05,合同,590,27,协议 协定 公约 条约 协议书 条款 签署 签订 订立 合同 规定 契约,签订 宣言 协议书 条约 决议 条款 签字 法律 签 签署 签约 条例,刑法 协议 法规 文件 签约 决议 条例 约定
pca200-fullfit-t0.686-r0.1-run05,银行,17,29,存折 银行卡 支票 挂失 身份证 汇款 信用卡 发票 收据 取款 证件 账单,取款 密码 银行 卡 挂失 一卡通 取款机 印章 信用卡 欠条 凭证 汇款,银行 取款机 证件 硬币 信用卡 取款 一卡通 存款
pca200-fullfit-t0.686-r0.1-run05,软件,553,25,电脑 硬盘 显示器 屏幕 笔记本 键盘 磁盘 打印机 服务器 内存 鼠标 浏览器,显示器 按键 键盘 软件 计算机 充电器 电池 服务器 打印机 硬盘 浏览器 硬件,电池 手机 黑客 按键 多媒体 芯片 充电器 浏览器
pca200-fullfit-t0.686-r0.1-run05,感冒,244,61,急性 病症 炎症 疾病 慢性 癌症 症状 发病 复发 糖尿病 抑郁症 高血压,疗效 传染病 骨折 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 诊断 患,昏迷 休克 失眠 衰竭 止血 疗效 艾滋病 手术
pca200-fullfit-t0.686-r0.1-run05,火车,109,44,列车 火车 公共汽车 公交车 车站 卧铺 乘客 慢车 车票 电车 车厢 大巴,机场 客运 乘车 乘 旅客 隧道 缆车 晚点 火车 航班 行李 电梯,线路 座位 高铁 隧道 上车 车上 退票 售票
pca200-fullfit-t0.686-r0.1-run05,妈妈,28,115,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 爸爸 母亲 哥哥 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,宝宝 娃娃 他 女人 你 我 爱人 老人
pca200-fullfit-t0.686-r0.1-run05,为什么,166,28,怎么 什么 怎样 呢 究竟 哪里 哪儿 干什么 谁 哪 到底 吗,怎么 请问 到底 有没有 吗 呢 哪 哪儿 为什么 哪些 不知 干什么,什么样 多久 干吗 怎么样 吗 不知 呢 多少
pca200-fullfit-t0.686-r0.1-run05,公斤,363,23,公斤 千克 斤 吨 磅 公顷 平方米 亩 立方米 米 厘米 公里,倍 克 元 吨 寸 尺 亩 磅 米 斤 桶 平方米,立方米 平方 元 美元 倍 克 美金 毫米
pca200-fullfit-t0.686-r0.1-run05,花,36,15,挣钱 赚钱 挣 打工 谋生 赚 做生意 发财 养活 致富 钱 门路,谋生 赚钱 做生意 门路 挣 一技之长 钱 花 赚 致富 打工 养活,门路 花 养活 赚 发财 一技之长 钱 挣
pca200-fullfit-t0.686-r0.1-run05,行,1235,1,行,行,行
pca200-fullfit-t0.686-r0.2-run01,苹果,1849,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.2-run01,牛奶,81,105,豆腐 红薯 米饭 水果 酸奶 橙汁 果酱 西红柿 南瓜 薯片 饼干 牛奶,汤圆 烤鸭 烤肉 巧克力 淀粉 奶 饼干 面粉 方便面 莲子 粥 糖,啤酒 面包 巧克力 三明治 月饼 桂花 饼 饼干
pca200-fullfit-t0.686-r0.2-run01,咖啡,81,105,豆腐 红薯 米饭 水果 酸奶 橙汁 果酱 西红柿 南瓜 薯片 饼干 牛奶,汤圆 烤鸭 烤肉 巧克力 淀粉 奶 饼干 面粉 方便面 莲子 粥 糖,啤酒 面包 巧克力 三明治 月饼 桂花 饼 饼干
pca200-fullfit-t0.686-r0.2-run01,衬衫,114,55,衬衣 衬衫 毛衣 大衣 上衣 外套 裙子 衣服 裤子 短裤 袜子 围巾,眼镜 背包 背心 拖鞋 穿 婚纱 内衣 睡袋 纽扣 球鞋 毛衣 穿着,装扮 背包 口罩 帽子 穿 时装 皮包 手套
pca200-fullfit-t0.686-r0.2-run01,足球,324,31,乒乓球 体操 田径 篮球 排球 网球 羽毛球 举重 摔跤 棒球 滑冰 台球,网球 球拍 举重 武术 滑冰 游泳 健美 羽毛球 乒乓球 跳高 龙舟 跳远,滑雪 健身 体育 球拍 长跑 健美 太极拳 竞技
pca200-fullfit-t0.686-r0.2-run01,老师,80,85,姑姑 舅舅 奶奶 爸爸 姐姐 爸 爷爷 姥姥 妹妹 母亲 妈妈 嫂子,爱人 太太 哥哥 老太太 她 妈 妹 姐 姨 娘 弟 弟弟,他 师父 师傅 老家 她 我 两口子 姑娘
pca200-fullfit-t0.686-r0.2-run01,焦虑,160,71,沮丧 羞愧 气愤 惊讶 惋惜 难过 伤心 诧异 伤感 痛心 惭愧 吃惊,怜惜 吃惊 慌乱 沮丧 慌张 绝望 惊奇 不安 伤感 惋惜 激动 惊慌,自豪 着急 高兴 疑惑 震惊 好笑 不解 慌张
pca200-fullfit-t0.686-r0.2-run01,政策,322,9,制度 机制 体制 措施 政策 体系 举措 改革 健全,机制 健全 举措 制度 体系 措施 体制 改革 政策,健全 体系 改革 举措 措施 政策 机制 体制
pca200-fullfit-t0.686-r0.2-run01,合同,963,15,签订 协议 签署 协议书 订立 合同 协定 达成 签约 签 约定 生效,签订 协议书 签字 签 签署 签约 契约 协议 约定 生效 谅解 订立,谅解 签字 契约 协议 生效 约定 协定 达成
pca200-fullfit-t0.686-r0.2-run01,银行,617,12,银行卡 存款 取款 信用卡 汇款 银行 储蓄 活期 外币 取款机 账户 理财,取款 银行 储蓄 取款机 信用卡 汇款 活期 理财 存款 外币 银行卡 账户,理财 外币 信用卡 账户 汇款 活期 银行 银行卡
pca200-fullfit-t0.686-r0.2-run01,软件,1661,7,软件 硬件 服务器 计算机 芯片 杀毒 黑客,软件 计算机 服务器 硬件 芯片 杀毒 黑客,黑客 芯片 计算机 杀毒 硬件 服务器 软件
pca200-fullfit-t0.686-r0.2-run01,感冒,268,44,急性 病症 疾病 癌症 炎症 慢性 发病 抑郁症 症状 心脏病 糖尿病 高血压,传染病 骨折 流感 肿瘤 糖尿病 病 癌 腹泻 患 肥胖 患有 患病,失明 休克 骨折 肥胖 中毒 感冒 艾滋病 抑郁
pca200-fullfit-t0.686-r0.2-run01,火车,117,31,列车 火车 电车 公共汽车 公交车 慢车 车站 卧铺 车票 乘客 车厢 地铁,客运 乘车 旅客 隧道 缆车 晚点 火车 航班 地铁 快车 站台 长途,乘坐 搭乘 上车 车票 车厢 旅客 航班 长途
pca200-fullfit-t0.686-r0.2-run01,妈妈,80,85,姑姑 舅舅 奶奶 爸爸 姐姐 爸 爷爷 姥姥 妹妹 母亲 妈妈 嫂子,爱人 太太 哥哥 老太太 她 妈 妹 姐 姨 娘 弟 弟弟,他 师父 师傅 老家 她 我 两口子 姑娘
pca200-fullfit-t0.686-r0.2-run01,为什么,180,27,怎么 什么 怎样 呢 哪里 哪儿 究竟 干什么 谁 哪 到底 怎么样,怎么 请问 到底 有没有 吗 呢 哪 哪儿 为什么 哪些 不知 干什么,为什么 有没有 多久 不知 干吗 请问 如何 何处
pca200-fullfit-t0.686-r0.2-run01,公斤,412,18,公斤 千克 斤 公顷 平方米 立方米 亩 吨 米 磅 公里 厘米,克 吨 尺 亩 磅 米 斤 桶 平方米 公顷 公里 毫米,立方米 平方 桶 公里 毫米 平方米 克 吨
pca200-fullfit-t0.686-r0.2-run01,花,1845,1,花,花,花
pca200-fullfit-t0.686-r0.2-run01,行,1854,1,行,行,行
raw-t0.7-r0.05-run01,苹果,385,7,新款 系列 版 标致 苹果 问世 吉利,苹果 版 问世 新款 标致 系列 吉利,苹果 系列 吉利 版 标致 问世 新款
raw-t0.7-r0.05-run01,牛奶,59,258,米饭 豆腐 豆浆 汁 橙汁 酸奶 果酱 粥 果汁 卤味 酱 牛奶,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 营养 冻 勺 巧克力 淀粉,晚饭 瓶 丰盛 海藻 便饭 餐厅 午饭 晚餐
raw-t0.7-r0.05-run01,咖啡,59,258,米饭 豆腐 豆浆 汁 橙汁 酸奶 果酱 粥 果汁 卤味 酱 牛奶,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 营养 冻 勺 巧克力 淀粉,晚饭 瓶 丰盛 海藻 便饭 餐厅 午饭 晚餐
raw-t0.7-r0.05-run01,衬衫,75,279,椅子 凳子 裤子 垫子 拖鞋 柜子 衣服 毯子 袜子 被子 桌子 裙子,眼镜 爪子 卫生间 身材 寝室 叉子 脸盆 肚子 浑身 宿舍 铅笔 背包,斧子 关上 楼梯 竹子 渣子 楼房 木头 树叶
raw-t0.7-r0.05-run01,足球,131,85,田径 体操 乒乓球 举重 网球 羽毛球 排球 篮球 摔跤 跳远 滑冰 游泳,俱乐部 运动 登山 东道主 参赛 帆船 选手 决赛 网球 夺 竞赛 球星,训练 球队 帆船 练 夺魁 热气球 滑梯 奖杯
raw-t0.7-r0.05-run01,老师,25,227,姑姑 妹妹 姐姐 舅舅 嫂子 闺女 哥哥 母亲 媳妇 妈妈 爸爸 女儿,爱人 太太 年迈 胖子 祖宗 子女 子孙 哥哥 疯子 朋友们 老太太 哥,双胞胎 婚姻 帮忙 回来 小人 胖 结婚 成家
raw-t0.7-r0.05-run01,焦虑,12,455,羞愧 诧异 心疼 沮丧 气愤 叹气 生气 惊讶 茫然 厌烦 伤心 难过,哀求 取笑 惊慌失措 怜惜 佩服 插嘴 红扑扑 疲倦 追问 吃惊 半信半疑 起劲,打搅 无聊 劳累 忙碌 说道 客气 发泄 反驳
raw-t0.7-r0.05-run01,政策,183,36,方法 措施 举措 方式 模式 机制 手段 思路 理念 途径 方针 策略,机制 流程 步骤 式 办法 程序 对策 载体 行为 举措 策略 模式,招数 行为 办法 式 形式 改革 方法 战略
raw-t0.7-r0.05-run01,合同,282,30,协议 协定 协议书 签署 签订 条约 公约 订立 合同 条款 宣言 契约,签订 宣言 协议书 条约 决议 条款 签字 签 签署 签约 条例 宪法,条例 宪法 倡议 决议 议程 生效 框架 草案
raw-t0.7-r0.05-run01,银行,14,64,支票 汇款 存折 银行卡 付款 账单 还款 信用卡 取款 支付 挂失 利息,取款 拖欠 密码 公积金 银行 卡 钱包 偿还 款项 付 挂失 缴费,领取 银行 付费 扣除 密码 偿还 账户 钱
raw-t0.7-r0.05-run01,软件,99,24,网站 浏览器 网页 下载 主页 软件 博客 搜索 浏览 登录 微博 社交,查询 数据库 登录 网站 软件 网页 博客 微博 浏览 后台 浏览器 系统,新闻 导航 媒体 社交 浏览 系统 黑客 登录
raw-t0.7-r0.05-run01,感冒,122,233,炎症 病症 急性 治疗 疼痛 疾病 症状 出血 慢性 肿瘤 发炎 腹泻,新陈代谢 临床 损伤 看病 疗效 传染病 疗法 疲劳 脂肪 骨折 流血 肢体,蛋白质 肠 血 口吃 医药 变异 伤 激素
raw-t0.7-r0.05-run01,火车,85,140,公交车 火车 车辆 行驶 公共汽车 慢车 列车 货车 出租车 电车 堵车 大巴,机场 开车 熄火 高速公路 绕行 客车 客运 掉头 乘车 出租车 步行 乘,交警 站台 车站 地铁站 车轴 车型 售票 掉头
raw-t0.7-r0.05-run01,妈妈,25,227,姑姑 妹妹 姐姐 舅舅 嫂子 闺女 哥哥 母亲 媳妇 妈妈 爸爸 女儿,爱人 太太 年迈 胖子 祖宗 子女 子孙 哥哥 疯子 朋友们 老太太 哥,双胞胎 婚姻 帮忙 回来 小人 胖 结婚 成家
raw-t0.7-r0.05-run01,为什么,4,300,就算 要是 难道 不然 要不然 也许 要不 好歹 可是 好像 毕竟 说不定,说到底 如果 没关系 纵然 看来 倘若 拜托 不像话 怎么 按说 不得了 是不是,怎样 就是 怎么样 似的 的话 哪里 完了 仍
raw-t0.7-r0.05-run01,公斤,226,24,公斤 千克 斤 立方米 吨 磅 平方米 公顷 米 公里 元 厘米,克 元 吨 尺 磅 米 立方 斤 桶 人次 体重 平方米,英镑 体重 平方 立方 多元 尺 克 桶
raw-t0.7-r0.05-run01,花,161,87,果树 桃树 作物 水稻 庄稼 种植 禾苗 杨树 农作物 株 栽培 柳树,开花 生长 增产 卵 亩 缕 田 种植 萌发 桃树 开垦 绿化,根 草 束 水利 缕 开垦 田 花
raw-t0.7-r0.05-run01,行,500,1,行,行,行
raw-t0.7-r0.1-run01,苹果,575,10,新款 车型 型号 系列 标致 版 吉利 问世 苹果 口径,苹果 版 问世 新款 型号 标致 系列 口径 车型 吉利,口径 苹果 系列 问世 吉利 版 标致 型号
raw-t0.7-r0.1-run01,牛奶,66,205,米饭 豆腐 豆浆 果酱 卤味 香肠 橙汁 粥 酸奶 饺子 酱 薯条,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸,酒 菊花 玫瑰 桂花 稠 厨师 口香糖 蜜
raw-t0.7-r0.1-run01,咖啡,66,205,米饭 豆腐 豆浆 果酱 卤味 香肠 橙汁 粥 酸奶 饺子 酱 薯条,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸,酒 菊花 玫瑰 桂花 稠 厨师 口香糖 蜜
raw-t0.7-r0.1-run01,衬衫,55,102,衬衣 袜子 衣服 毛衣 衬衫 大衣 裙子 围巾 裤子 外套 上衣 拖鞋,眼镜 铅笔 背包 背心 枕头 一身 球拍 伞 拖鞋 穿 婚纱 罩,塑料袋 珠宝 胶带 背包 圆珠笔 火柴 玩具 罩
raw-t0.7-r0.1-run01,足球,167,74,田径 体操 乒乓球 举重 网球 羽毛球 排球 篮球 摔跤 跳远 比赛 游泳,运动 登山 东道主 参赛 选手 决赛 网球 球星 举重 武术 球员 球场,训练 球场 练 夺魁 奖杯 球星 入场券 体育
raw-t0.7-r0.1-run01,老师,25,169,姑姑 姐姐 妹妹 舅舅 哥哥 嫂子 爸爸 母亲 妈妈 奶奶 闺女 媳妇,爱人 太太 年迈 胖子 祖宗 子女 哥哥 疯子 朋友们 老太太 哥 她,朋友们 抚养 上司 长大 祖宗 少女 母子 仙女
raw-t0.7-r0.1-run01,焦虑,13,296,羞愧 沮丧 诧异 气愤 心疼 惊讶 茫然 叹气 吃惊 难过 伤心 生气,哀求 取笑 惊慌失措 怜惜 佩服 插嘴 红扑扑 疲倦 吃惊 半信半疑 舍不得 由衷,扭头 眼泪 泪水 遗憾 受不了 过意不去 兴高采烈 原谅
raw-t0.7-r0.1-run01,政策,390,25,制定 制订 实施 颁布 出台 推行 实行 施行 试行 起草 拟定 修订,颁布 制订 实施 搞 起草 编写 编制 规定 发布 试行 落实 制定,搞 规定 编写 修订 政策 试点 采取 提倡
