token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
会见,0,230,0.3151544039711648,43,0.09987814977219289,0.127278103035151,0.9997442855421539,43,0.0001292402756627549,0.9996150452664911,0.0007248570722244641,6,huìjiàn,to meet with (sb who is paying a visit),Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
正义,13,190,0.2918391068282233,23,0.03537253161070253,0.047573559481943625,0.9122654077394611,25,0.07112401707608176,0.8411413906633793,0.09463375410917219,5,zhèngyì,justice; righteousness; just; righteous,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
和气,13,190,0.29153627994792275,30,0.025615369795251253,0.0348945640184066,0.9866740282173213,30,0.007207354890791916,0.9794666733265294,0.023747789190040704,7-9,héqi,friendly; polite; amiable,Translation,艳丽 | 古朴 | 迷人 | 明媚 | 质朴 | 优雅 | 优美 | 别致 | 纯朴 | 精致 | 文雅 | 韵味,0.75
苦心,13,190,0.2912538129438687,24,0.02063390408432625,0.028289645323418485,0.9895214673714792,35,0.006972545039097514,0.9825489223323817,0.018521148996393535,7-9,kǔxīn,painstaking effort; to take a lot of trouble; laborious at pains,Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
平常心,13,190,0.2909160253947833,5,0.04199367988134564,0.05591123584957757,0.980297587873092,34,0.005061398601937881,0.9752361892711541,0.038097828847757566,7-9,píngchángxīn,levelheadedness; calmness; equanimity,Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.75
默默,13,190,0.2906111148456868,11,-0.0007491197086265111,-0.0010560071130288583,0.8734939263542756,11,0.05220130554139807,0.8212926208128775,0.14736294957347046,4,mòmò,in silence; not speaking,Translation,哆嗦 | 小声 | 咧嘴 | 嘴唇 | 摇头 | 扭头 | 胳膊 | 身子 | 眼睛 | 发愣 | 苦笑 | 叹气,0.25
公正,13,190,0.2905687271988606,49,0.014760727610943214,0.020382340045932503,0.9476612276671224,49,0.026773250103721113,0.9208879775634012,0.06896392781402613,5,gōngzhèng,just; fair; equitable,Translation,恰当 | 准确 | 可靠 | 完备 | 合理 | 清晰 | 顺畅 | 严谨 | 扎实 | 坚实 | 精确 | 细致,0.25
同舟共济,13,190,0.29022180992692476,5,0.046397280478098546,0.06135782273429171,0.9791309560939404,5,0.013890761523566693,0.9652401945703737,0.03306288863383525,7-9,tóngzhōu-gòngjì,cross a river in the same boat (idiom); fig. having common interests; obliged to collaborate towards common goals,Translation,苦难 | 感情 | 情谊 | 酸甜苦辣 | 磨难 | 回忆 | 艰辛 | 悲欢离合 | 往事 | 难忘 | 人生 | 爱情,0.5
发愤图强,13,190,0.28977978118729003,24,0.05076757252981909,0.06671272930706973,0.9947313273659214,34,0.002423876183493321,0.9923074511824281,0.010789471100263792,7-9,fāfèn-túqiáng,to be strongly determined to succeed (idiom),Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.5
理性,13,190,0.28815653931119434,49,0.021336688226230915,0.02910156290756787,0.8694706586917433,34,0.0685835298944221,0.8008871287973213,0.14708849566826557,7-9,lǐxìng,reason; rationality; rational,Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.75
心安理得,13,190,0.2876216604246395,24,-0.029377356625861384,-0.041238419241344054,0.45165341541190485,20,0.25332223914153434,0.1983311762703705,0.3964335847944374,7-9,xīn'ān-lǐdé,to have a clear conscience; to have no qualms about sth,Translation,不要 | 不许 | 不肯 | 轻易 | 愿意 | 拒绝 | 怕 | 宁愿 | 忍心 | 随意 | 决不 | 情愿,0.5
好心,13,190,0.2875039093646294,24,-0.009209277137566696,-0.012925372164995733,0.7278711329767937,39,0.14214428743256444,0.5857268455442293,0.2668548833775262,7-9,hǎoxīn,kindness; good intentions,Translation,妹妹 | 姐姐 | 姑姑 | 母亲 | 哥哥 | 舅舅 | 嫂子 | 闺女 | 女儿 | 妈妈 | 媳妇 | 爸爸,0.5
发扬,13,190,0.28740976003234225,42,0.044464417934396566,0.058733431556469165,0.8698060337437,38,0.0811858956849136,0.7886201380587864,0.13251688767117709,7-9,fāyáng,to develop; to make full use of,Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.25
侠义,13,190,0.28702190148777784,23,0.01994609459252905,0.027214403317804396,0.877670613078048,42,0.029061634143141248,0.8486089789349067,0.15780665503828215,7-9,xiáyì,chivalrous; chivalry; knight-errantry,Translation,儒家 | 古代 | 习俗 | 信仰 | 传承 | 儒学 | 佛教 | 渊源 | 道教 | 风俗 | 宗教 | 民俗,0.75
清醒,13,190,0.286893759741863,24,0.01064904603819794,0.014713600356126306,0.8878355906024364,24,0.04124325872521809,0.8465923318772184,0.14900916521982996,4,qīngxǐng,clear-headed; sober; awake,Translation,沮丧 | 羞愧 | 气愤 | 厌烦 | 难过 | 心疼 | 茫然 | 惭愧 | 苦恼 | 伤心 | 诧异 | 惊讶,0.75
端正,13,190,0.28558967637277355,49,0.025266614603724757,0.03415898657615799,0.938821024737312,49,0.03784576653897391,0.9009752581983381,0.08167210693701396,7-9,duānzhèng,upright; regular; proper; correct,Translation,恰当 | 准确 | 可靠 | 完备 | 合理 | 清晰 | 顺畅 | 严谨 | 扎实 | 坚实 | 精确 | 细致,0.75
死心塌地,13,190,0.28521663842106,24,0.004640347324028238,0.006450089518323125,0.8454298146545991,20,0.07268598023085726,0.7727438344237418,0.1739935779705354,7-9,sǐxīn-tādì,to be hell-bent on; dead set on sth; unswerving,Translation,不要 | 不许 | 不肯 | 轻易 | 愿意 | 拒绝 | 怕 | 宁愿 | 忍心 | 随意 | 决不 | 情愿,0.25
敢于,13,190,0.2840516227649739,35,0.019100143941357228,0.025984874999529284,0.910558793476049,20,0.05748561316787099,0.8530731803081779,0.09757775593245441,6,gǎnyú,to have the courage to do sth; to dare to; bold in,Translation,不要 | 不许 | 不肯 | 轻易 | 愿意 | 拒绝 | 怕 | 宁愿 | 忍心 | 随意 | 决不 | 情愿,0.0
振作,13,190,0.28376804303145287,24,-0.014611147031105665,-0.02040002109504771,0.8994544090043171,24,0.06810151063860895,0.8313528983657081,0.11706632139777366,7-9,zhènzuò,to bestir oneself; to pull oneself together; to cheer up; to uplift; to stimulate,Translation,沮丧 | 羞愧 | 气愤 | 厌烦 | 难过 | 心疼 | 茫然 | 惭愧 | 苦恼 | 伤心 | 诧异 | 惊讶,0.5
独立自主,13,190,0.28165542405046373,49,0.05317353650175563,0.06892065869044986,0.8962452271945938,25,0.029704210273417877,0.8665410169211759,0.15787556723322796,7-9,dúlì-zìzhǔ,independent and autonomous (idiom); self-determination; to act independently; to maintain control over one's own affairs,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.5
争气,13,190,0.28105390118158863,12,0.0012268337505711435,0.001703526604637679,0.9526635423076982,24,0.02419804030188931,0.9284655020058089,0.06929368364747573,7-9,zhēngqì,to work hard for sth; to resolve on improvement; determined not to fall short,Translation,沮丧 | 羞愧 | 气愤 | 厌烦 | 难过 | 心疼 | 茫然 | 惭愧 | 苦恼 | 伤心 | 诧异 | 惊讶,0.75
诚信,13,190,0.2809395062061393,34,0.04454187575187013,0.05833124349570597,0.8339028118535519,25,0.09893608918329506,0.7349667226702568,0.16316891731103916,4,chéngxìn,genuine; honest; in good faith; honesty; integrity,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
忠实,13,190,0.2809240511504273,43,0.05071357901393714,0.06587979854011353,0.9605822225776466,43,0.013699161356419447,0.9468830612212271,0.06693634752445204,7-9,zhōngshí,faithful,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.25
改邪归正,13,190,0.2798433134124549,23,0.025530149332239183,0.03423709270762243,0.5792430260567024,40,0.17207310310779883,0.4071699229489036,0.38280001630556804,7-9,gǎixié-guīzhèng,to mend one's ways (idiom); to turn over a new leaf,Translation,丧生 | 遇难 | 失踪 | 遇险 | 受伤 | 逃走 | 重伤 | 伤亡 | 倒塌 | 死亡 | 营救 | 毁灭,0.25
专心,13,190,0.27981594542311605,35,0.020123253016872844,0.027182296879224396,0.9888703212985822,35,0.0036206941196019016,0.9852496271789803,0.021783377760943773,4,zhuānxīn,to focus one's attention; to concentrate on (doing sth),Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
名利,13,190,0.2785773801200761,34,0.011641502811307547,0.015880606417579428,0.5294324164746663,23,0.22612281699373518,0.30330959948093117,0.35254555869307846,7-9,mínglì,fame and profit,Translation,愚蠢 | 虚伪 | 蠢 | 奸诈 | 粗鲁 | 自私 | 狡猾 | 胡闹 | 卑鄙 | 可笑 | 可恶 | 贪玩儿,0.0
善于,13,190,0.2784141203391948,20,0.024675241649347035,0.03306515768371611,0.8514814293545278,49,0.06706619378395899,0.7844152355705688,0.16666018207255748,4,shànyú,to be good at; to be adept at,Translation,恰当 | 准确 | 可靠 | 完备 | 合理 | 清晰 | 顺畅 | 严谨 | 扎实 | 坚实 | 精确 | 细致,0.5
钻研,13,190,0.27840426914865035,29,0.01765513063416796,0.023882462035539717,0.9140869378428497,29,0.07913447427412293,0.8349524635687268,0.08362756193253647,7-9,zuānyán,to study meticulously; to delve into,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.25
与时俱进,13,190,0.2782359830477896,49,0.045120547808781525,0.05883616633077472,0.8873112772825983,42,0.02215358225016683,0.8651576950324315,0.16096876932301588,7-9,yǔshí-jùjìn,abreast of modern developments; to keep up with the times; progressive; timely,Translation,儒家 | 古代 | 习俗 | 信仰 | 传承 | 儒学 | 佛教 | 渊源 | 道教 | 风俗 | 宗教 | 民俗,0.5
奋斗,13,190,0.2777481947969599,5,0.00016393957848570562,0.00022693245498862225,0.9925690762344599,5,0.004215836048005275,0.9883532401864547,0.01459134595351168,4,fèndòu,to strive; to struggle,Translation,苦难 | 感情 | 情谊 | 酸甜苦辣 | 磨难 | 回忆 | 艰辛 | 悲欢离合 | 往事 | 难忘 | 人生 | 爱情,0.5
良心,13,190,0.2771035324480878,34,-0.008265351206099614,-0.011433658313603776,0.6025427211394693,34,0.37671583996742286,0.2258268811720464,0.20458794980735828,7-9,liángxīn,conscience,Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.25
默默无闻,13,190,0.2761119626657009,24,0.0323190785924406,0.042738395225008136,0.8762678494330639,7,0.10684766798368618,0.7694201814493777,0.11808734971607467,7-9,mòmò-wúwén,obscure and unknown (idiom); an outsider without any reputation; a nobody; an unknown quantity,Translation,奇特 | 奇怪 | 怪异 | 奇妙 | 古怪 | 有趣 | 不同寻常 | 新奇 | 惊心动魄 | 不可思议 | 引人注目 | 稀奇,0.25
无微不至,13,190,0.2748653514039497,43,0.006917171147403922,0.00944901844493464,0.7104208879715306,43,0.2753368302669778,0.4350840577045528,0.17696587867479596,7-9,wúwēi-bùzhì,in every possible way (idiom); meticulous,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.25
克制,13,190,0.2745719751379365,23,0.009184880458911915,0.012503020832309907,0.8472377249127574,28,0.03767128825745516,0.8095664366553023,0.19119511532666972,7-9,kèzhì,to restrain; to control; restraint; self-control,Translation,消除 | 削弱 | 缓解 | 促进 | 抑制 | 减轻 | 遏制 | 阻碍 | 阻止 | 克服 | 抵消 | 推动,0.5
爱国,13,190,0.27437987988135853,43,0.05005250353735449,0.06452787169597521,0.49923398160940863,25,0.4284422527058955,0.07079172890351315,0.2737696276350233,4,àiguó,to love one's country; patriotic,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.0
聚精会神,13,190,0.27362284454017716,11,0.0010233339439161826,0.0014068370297015123,0.9582409659660333,11,0.03014473227577589,0.9280962336902574,0.05602131317306919,7-9,jùjīng-huìshén,to concentrate one's attention (idiom),Translation,哆嗦 | 小声 | 咧嘴 | 嘴唇 | 摇头 | 扭头 | 胳膊 | 身子 | 眼睛 | 发愣 | 苦笑 | 叹气,0.5
融洽,13,190,0.27335646687940174,30,-0.027043780631855252,-0.037217396700297826,0.7636261342952209,30,0.13435562945578783,0.629270504839433,0.20705974288088425,7-9,róngqià,harmonious; friendly relations; on good terms with one another,Translation,艳丽 | 古朴 | 迷人 | 明媚 | 质朴 | 优雅 | 优美 | 别致 | 纯朴 | 精致 | 文雅 | 韵味,0.0
废寝忘食,13,190,0.2726496777332571,24,0.02142905791708477,0.02861865388417055,0.9801720895992111,8,0.010832714478288302,0.9693393751209228,0.030869134703082172,7-9,fèiqǐn-wàngshí,to neglect sleep and forget about food (idiom); to skip one's sleep and meals; to be completely wrapped up in one's work,Translation,晚饭 | 午饭 | 晚上 | 下班 | 早饭 | 吃饭 | 夜晚 | 睡觉 | 夜里 | 中午 | 星期天 | 过年,0.5
分寸,13,190,0.2718686173469534,34,-0.004118846865457049,-0.005656735808377845,0.629486566416945,49,0.15371152360215667,0.47577504281478833,0.34340084164972273,7-9,fēncun,propriety; appropriate behavior; proper speech or action; within the norms,Translation,恰当 | 准确 | 可靠 | 完备 | 合理 | 清晰 | 顺畅 | 严谨 | 扎实 | 坚实 | 精确 | 细致,0.75
众志成城,13,190,0.2707360402664534,5,0.054172443860295294,0.06914721298600772,0.9786470553479497,35,0.008662122835217863,0.9699849325127319,0.03849828008978582,7-9,zhòngzhì-chéngchéng,unity of will is an impregnable stronghold (idiom),Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
担当,13,190,0.27002046094499976,34,0.019443266327068276,0.025944321666533442,0.7722455642102618,34,0.08733487929500441,0.6849106849152574,0.2577521274231435,7-9,dāndāng,to take upon oneself; to assume,Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.0
胸有成竹,13,190,0.2693464952258995,24,-0.007658099042783362,-0.01048116377016634,0.8758939487697254,24,0.07489883595533224,0.8009951128143932,0.13664476608128673,7-9,xiōngyǒuchéngzhú,(idiom) to have a well thought out plan in mind,Translation,沮丧 | 羞愧 | 气愤 | 厌烦 | 难过 | 心疼 | 茫然 | 惭愧 | 苦恼 | 伤心 | 诧异 | 惊讶,0.75
痴心,13,190,0.2685538002271669,24,-0.009717630078372508,-0.013285502175540018,0.85322749633523,24,0.059059475017569675,0.7941680213176603,0.16307961926133488,7-9,chīxīn,infatuation,Translation,沮丧 | 羞愧 | 气愤 | 厌烦 | 难过 | 心疼 | 茫然 | 惭愧 | 苦恼 | 伤心 | 诧异 | 惊讶,0.0
坚守,13,190,0.2679703240550394,38,0.04987799882358912,0.06379013844358718,0.9850309993914069,38,0.008860608757032224,0.9761703906343747,0.026285036535937462,7-9,jiānshǒu,to hold fast to; to stick to,Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.5
爱心,13,190,0.2678468527386297,43,-0.007187574434657562,-0.009817036861130325,0.9204217383842906,43,0.035977125695251,0.8844446126890396,0.10075473524156912,3,àixīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.25
廉正,13,190,0.2651791027240865,34,0.05440252728767442,0.06893171894607285,0.879254489818331,25,0.08576256799862705,0.793491921819704,0.13228169770639786,7-9,liánzhèng,upright and honest; integrity,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
正能量,13,190,0.2647647593391883,34,0.012164081939223303,0.01627521135141953,0.702076512514316,30,0.11797586100782961,0.5841006515064864,0.29755518678427034,7-9,zhèngnéngliàng,positive energy; positivity,Translation,艳丽 | 古朴 | 迷人 | 明媚 | 质朴 | 优雅 | 优美 | 别致 | 纯朴 | 精致 | 文雅 | 韵味,0.0
平等,13,190,0.2628092584422058,33,0.03767175290046615,0.04861733942459563,0.9269655276554446,25,0.05479972076247935,0.8721658068929653,0.0864595930461706,2,píngděng,equal; equality,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
光荣,13,190,0.2627643124181536,5,0.017977298851606455,0.02380427664056129,0.8965943161464371,30,0.03962997272579763,0.8569643434206395,0.1335629214045649,5,guāngróng,honor and glory; glorious,Translation,艳丽 | 古朴 | 迷人 | 明媚 | 质朴 | 优雅 | 优美 | 别致 | 纯朴 | 精致 | 文雅 | 韵味,0.25
友好,13,190,0.26262205793379967,43,0.0334554866020888,0.04340170698082902,0.9475461207591078,0,0.019821872240885136,0.9277242485182227,0.07529694542379788,2,yǒuhǎo,"Youhao district of Yichun city 市, Heilongjiang; friendly; amicable; close friend",Translation,会见 | 拜会 | 出席 | 接见 | 应邀 | 会晤 | 座谈 | 担任 | 出任 | 邀请 | 致辞 | 会面,0.5
着想,13,190,0.2621690901822645,12,-0.015620912612258064,-0.02117139903520302,0.3884563394333004,12,0.24804220303942642,0.14041413639387396,0.4986701076270969,7-9,zhuóxiǎng,to give thought (to others); to consider (other people's needs); also pr. [zháo xiǎng],Translation,吵嘴 | 闹着玩儿 | 干活儿 | 说闲话 | 挣钱 | 吵 | 吵架 | 操心 | 玩儿 | 赔钱 | 伺候 | 唠叨,0.25
安心,13,190,0.2621047929432061,24,-0.008576020360668568,-0.01162227410972809,0.7364322329577119,30,0.19613879918231333,0.5402934337753985,0.21886594006352972,7-9,ānxīn,at ease; to feel relieved; to set one's mind at rest; to keep one's mind on sth,Translation,艳丽 | 古朴 | 迷人 | 明媚 | 质朴 | 优雅 | 优美 | 别致 | 纯朴 | 精致 | 文雅 | 韵味,0.25
自力更生,13,190,0.26059477430886807,35,0.044289300523507796,0.056513474373021004,0.9160821636349917,35,0.031814343974098915,0.8842678196608929,0.12324303653964482,7-9,zìlì-gēngshēng,regeneration through one's own effort (idiom); self-reliance,Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
大胆,13,190,0.2602766529057738,23,0.015510813799532841,0.0205377545173236,0.9429740221382212,35,0.03158853648866491,0.9113854856495563,0.07725673939120559,5,dàdǎn,brazen; audacious; outrageous; bold; daring; fearless,Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
夜以继日,13,190,0.2563954104015483,35,-0.005032135937089011,-0.00676722011601143,0.8771592067366797,8,0.08021272340141154,0.7969464833352682,0.12024422925162494,7-9,yèyǐjìrì,night and day (idiom); continuous strenuous effort,Translation,晚饭 | 午饭 | 晚上 | 下班 | 早饭 | 吃饭 | 夜晚 | 睡觉 | 夜里 | 中午 | 星期天 | 过年,0.5
苦练,13,190,0.25570234555947013,29,0.01258927178301944,0.016632962397478652,0.8716185482813853,29,0.11802999907009104,0.7535885492112943,0.11048236527348554,7-9,kǔ liàn,"to train hard; to practice diligently; hard work; blood, sweat, and tears",Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.25
公平,13,190,0.2556670590927136,49,0.00028368263612454925,0.0003809781129711921,0.8674908125691325,25,0.05889512740322469,0.8085956851659079,0.15473798630095892,2,gōngpíng,fair; impartial,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
坚持,13,190,0.25501446329630534,38,0.010964794974924447,0.014504649995425951,0.8434204718385307,38,0.0705767226875198,0.772843749151011,0.1679096819338602,3,jiānchí,to persevere with; to persist in; to insist on,Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.5
自立,13,190,0.2511890775904308,34,0.03675697954772805,0.046790327680325886,0.9181524013909851,29,0.0254241779168871,0.892728223474098,0.12450696458668864,7-9,zìlì,independent; self-reliant; self-sustaining; to stand on one's own feet; to support oneself,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.5
神圣,13,190,0.25062128391349464,30,-0.0013861302562257483,-0.0018497059316876614,0.6428715372775465,42,0.12322614045660084,0.5196453968209457,0.3223079036436547,7-9,shénshèng,divine; hallow; holy; sacred,Translation,儒家 | 古代 | 习俗 | 信仰 | 传承 | 儒学 | 佛教 | 渊源 | 道教 | 风俗 | 宗教 | 民俗,0.25
一心,13,190,0.24919618013445988,35,0.010849981870548142,0.014245293394212844,0.9422112659825069,35,0.02138744446149405,0.9208238215210128,0.08625864542799257,7-9,yīxīn,wholeheartedly; heart and soul,Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
和平共处,13,190,0.24913583899413252,33,0.02302077532363811,0.02974702600211396,0.6195867401470984,25,0.2147032906802878,0.40488344946681054,0.3373452288668779,7-9,hépíng gòngchǔ,"peaceful coexistence of nations, societies etc",Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.0
模范,13,190,0.24848018639679992,25,0.04042899789786991,0.05105001397911093,0.5499263681129877,25,0.3678511321345612,0.18207523597842645,0.27243189685409397,5,mófàn,model; fine example,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.0
互信,13,190,0.24670576436172775,34,0.020909702570145405,0.027008003367345837,0.5018150537256558,25,0.1772803569945354,0.32453469673112045,0.37060062618102907,7-9,hùxìn,mutual trust,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.0
顺其自然,13,190,0.24607231216985026,24,0.007877659981428586,0.010340778000651366,0.49735339508825577,15,0.26970310638084866,0.2276502887074071,0.41018487864579506,7-9,shùnqízìrán,to let nature take its course (idiom),Translation,就算 | 不然 | 也许 | 要不然 | 可是 | 当然 | 毕竟 | 难道 | 要是 | 别说 | 要不 | 何况,0.75
心血,13,190,0.2421581281428833,5,-0.024741620599638414,-0.03264747108655834,0.8221797968385214,34,0.09119910343798189,0.7309806934005395,0.1706097501291857,7-9,xīnxuè,heart's blood; expenditure (for some project); meticulous care,Translation,气质 | 品德 | 魄力 | 性格 | 天赋 | 素养 | 才华 | 毅力 | 天分 | 自信心 | 修养 | 功力,0.5
中立,13,190,0.24171541527129148,23,0.02103327359284296,0.026989338648216173,0.7647085706926078,25,0.16163157206639028,0.6030769986262174,0.229064766250086,7-9,zhōnglì,neutral; neutrality,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.25
愚公移山,13,190,0.24014060551595293,32,0.023054590515845103,0.029447156338442856,0.7248875367275535,32,0.08972338246049198,0.6351641542670615,0.33394211965804144,7-9,yúgōng-yíshān,"the old man moves mountains (idiom); fig. where there's a will, there's a way",Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
前赴后继,13,190,0.2345474526101984,35,0.022697365524841556,0.02879828463205034,0.8697011233727593,35,0.053257514992119975,0.8164436083806393,0.16126009873571512,7-9,qiánfù-hòujì,to advance dauntlessly in wave upon wave (idiom),Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.25
立功,13,190,0.21752802737784388,37,0.008872098593787459,0.01121142991588362,0.7370671868701789,3,0.07940432159140154,0.6576628652787774,0.310276174799938,7-9,lìgōng,to render meritorious service (one the three imperishables 朽); to make worthy contributions; to distinguish oneself,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.25
争光,13,190,0.21461208403191162,43,-0.018602389399582087,-0.02368560684646169,0.936329498373756,3,0.016809040113879754,0.9195204582598763,0.1035278620082792,7-9,zhēngguāng,to win an honor; to strive to win a prize,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.25
举一反三,13,190,0.20768075224221572,29,-0.004012886660318099,-0.005064734539359354,0.3039680714257169,48,0.2617107792665906,0.042257292159126325,0.5487765061039895,7-9,jǔyī-fǎnsān,to raise one and infer three; to deduce many things from one case (idiom),Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.25
保,14,141,0.2666583650258689,1,0.0471140449107538,0.06036735477112931,0.9826439002359225,44,0.009062652471949421,0.9735812477639731,0.028560420076683076,3,bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚; to defend; to protect; to keep; to guarantee; to ensure; civil administration unit in the baojia 甲 system (old),Translation,羊 | 鹅 | 桃树 | 蛇 | 猫 | 虫子 | 柏树 | 鱼 | 棵 | 松树 | 母鸡 | 兔,1.0
审,14,141,0.2545419018157056,26,0.027572493590517555,0.03566804973036503,0.9588654158431154,26,0.03215979060597941,0.926705625237136,0.05573131152754339,7-9,shěn,to examine; to investigate; carefully; to try (in court),Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,1.0
理,14,141,0.25396353807183075,1,0.035844673149997064,0.045844146305452936,0.9523520025368127,44,0.02069205125393597,0.9316599512828768,0.07729223456359306,6,lǐ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up,Translation,羊 | 鹅 | 桃树 | 蛇 | 猫 | 虫子 | 柏树 | 鱼 | 棵 | 松树 | 母鸡 | 兔,1.0
退,14,141,0.2509174653010075,1,0.0035229253952908657,0.004680972411294396,0.9662411076898507,1,0.026943189839398928,0.9392979178504518,0.046085159741166,3,tuì,to retreat; to withdraw; to reject; to return (sth); to decline,Translation,拧 | 拽 | 踹 | 磕 | 搓 | 蹬 | 扔 | 蹦 | 搂 | 捏 | 叼 | 扒,1.0
