token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
揣摩,0,51,0.3920539425207149,142,0.08914870443864359,0.12788606271171396,1.0,66,4.1684302392892646e-29,1.0,5.141183107836857e-28,7-9,chuǎimó,to analyze; to try to figure out; to try to fathom,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,1.0
太,43,89,0.34581223859237437,53,0.04120409342912906,0.0592530573122715,0.9999999996944382,53,3.055182947643168e-10,0.9999999993889199,1.321218411952209e-9,1,tài,highest; greatest; too (much); very; extremely,Translation,极其 | 极为 | 非常 | 十分 | 尤为 | 愈来愈 | 越发 | 格外 | 很 | 相当 | 日益 | 无比,0.75
不值,43,89,0.344045604697135,122,0.007294904010490655,0.010998736098240616,1.0,122,2.5669683160802476e-25,1.0,2.8731290883483866e-24,6,bùzhí,not worth,Translation,惊讶 | 诧异 | 吃惊 | 惊诧 | 气愤 | 羞愧 | 惋惜 | 欣喜 | 心疼 | 欣慰 | 惭愧 | 惊奇,0.75
稀罕,43,89,0.34308058226935784,60,-0.007961671010193905,-0.01211970722025207,1.0,107,2.37636051957974e-17,1.0,2.4685023320945453e-16,7-9,xīhan,rare; uncommon; rare thing; rarity; to value as a rarity; to cherish; Taiwan pr. [xī hǎn],Translation,有名 | 远近闻名 | 难得一见 | 家喻户晓 | 闻名 | 当之无愧 | 瞩目 | 耳熟能详 | 随处可见 | 少见 | 比比皆是 | 出名,0.75
不够,43,89,0.3418939203460056,53,0.04604597742858524,0.0653920938885864,1.0,53,5.528522827302709e-20,1.0,5.392498331411615e-19,2,bùgòu,not enough; insufficient; inadequate,Translation,极其 | 极为 | 非常 | 十分 | 尤为 | 愈来愈 | 越发 | 格外 | 很 | 相当 | 日益 | 无比,0.25
一塌糊涂,43,89,0.3403051911102239,118,0.0331636938271917,0.04786503116746638,1.0,118,2.754531838071937e-28,1.0,3.303052138951761e-27,7-9,yītāhútú,muddled and completely collapsing (idiom); in an awful condition; complete shambles; a total mess,Translation,走投无路 | 无能为力 | 一事无成 | 力不从心 | 一筹莫展 | 疲惫不堪 | 崩溃 | 一无所有 | 倾家荡产 | 得不偿失 | 陷入 | 无所作为,0.5
蛮,43,89,0.3379036246594788,53,0.04309328069436319,0.06110878162431739,0.9999999999997442,136,2.483902129938646e-13,0.9999999999994958,1.4089980746931946e-12,7-9,mán,barbarian; bullying; very; quite; rough; reckless,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.75
得,43,89,0.33626609393188206,10,0.04672110076472913,0.065762223244802,1.0,65,1.0147421022061714e-15,0.999999999999999,6.993272641872816e-15,2; 4,dé; de; děi,"to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; to have to; must; ought to; to need to",Translation,也 | 反倒 | 似乎 | 却 | 确实 | 往往 | 也许 | 都 | 反而 | 竟然 | 倒是 | 的确,1.0
慢慢来,43,89,0.3348326836027391,10,0.025965684819102552,0.037569736611338334,1.0,10,7.538590747560448e-18,1.0,6.057674007237871e-17,7-9,mànmàn lái,take your time; take it easy,Translation,回去 | 想 | 快点儿 | 好好 | 待会儿 | 赶快 | 顺便 | 先 | 回来 | 去 | 空儿 | 帮,0.75
算,43,89,0.3323106027685237,136,0.03405619023042261,0.04853067954954784,1.0,136,1.631490286012278e-22,1.0,2.932739309983831e-21,2,suàn,to regard as; to figure; to calculate; to compute,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.75
要紧,43,89,0.33011891436279606,136,0.025115106769124984,0.036137042250788995,1.0,166,6.780327987219993e-21,1.0,5.952356124041516e-20,7-9,yàojǐn,important; urgent,Translation,契机 | 步伐 | 突破口 | 机遇 | 转折点 | 重中之重 | 路子 | 思路 | 方向 | 序幕 | 根基 | 趋势,1.0
办不到,43,89,0.32996803148251,136,0.03259206005730403,0.04638620191144596,1.0,136,1.5524007388621468e-16,0.9999999999999999,1.0665619927037018e-15,7-9,bàn bu dào,impossible; can't be done; no can do; unable to accomplish,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.5
管用,43,89,0.3254359891721214,86,0.01223116801235724,0.017809047572249322,1.0,86,7.380520231420733e-20,1.0,6.136539011594271e-19,7-9,guǎnyòng,efficacious; useful,Translation,准确 | 便捷 | 恰当 | 清晰 | 可靠 | 贴切 | 精确 | 方便 | 详尽 | 快捷 | 顺畅 | 正确,0.5
出毛病,43,89,0.32429359574023725,95,0.004526754398336386,0.006654709992771387,1.0,60,8.906075210618917e-24,1.0,9.021969041884556e-23,7-9,chū máobìng,a problem appears; to break down,Translation,蠢 | 傻 | 可恶 | 小偷儿 | 倒霉 | 贱 | 丑 | 可笑 | 笨蛋 | 丢人 | 惨 | 可悲,0.5
好家伙,43,89,0.32369042317210805,60,0.003804704441384754,0.005594213422903125,1.0,136,3.1310116248629654e-16,0.9999999999999997,2.1096970813234227e-15,7-9,hǎojiāhuo,my God!; oh boy!; man!,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.75
嫌,43,89,0.32049612597618504,84,-0.008138138039283094,-0.011976588140832103,1.0,136,5.8396695318951e-18,1.0,4.378528102980337e-17,6,xián,"to dislike; suspicion; resentment; enmity; abbr. for 犯, criminal suspect",Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.0
乱七八糟,43,89,0.3163963174985273,60,0.01608080888163943,0.022982943140345376,1.0,176,7.00057293713557e-25,1.0,7.348974639619536e-24,7-9,luànqībāzāo,(idiom) chaotic; in disorder; muddled,Translation,大多数 | 大部分 | 绝大多数 | 许多 | 一些 | 多数 | 个别 | 众多 | 部分 | 这些 | 那些 | 所有,0.5
些,43,89,0.3163612495677888,136,0.032133806228218265,0.04489387855011434,0.9999999999997726,136,2.14910496413539e-13,0.9999999999995577,1.2266882563356811e-12,4,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.75
得了,43,89,0.3153287700979126,133,0.019511528683958335,0.02770804659167777,1.0,159,2.0816097624043793e-21,1.0,1.8809366994381978e-20,5,déle,"all right!; that's enough!; (emphatically, in rhetorical questions) possible",Translation,命 | 忍 | 敬 | 矣 | 忘 | 识 | 贪 | 俗 | 尝 | 曰 | 戒 | 辞,0.75
不成,43,89,0.31296261916055834,60,0.029780709800451555,0.04154570063077892,1.0,136,6.652261141646368e-30,1.0,8.844194946720559e-29,6,bùchéng,won't do; unable to; (at the end of a rhetorical question) can that be?,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.5
而已,43,89,0.3075870757879087,136,0.06702161202665671,0.08825199385663268,1.0,65,1.079220374172723e-18,1.0,1.1351855191009865e-17,7-9,éryǐ,that's all; nothing more,Translation,也 | 反倒 | 似乎 | 却 | 确实 | 往往 | 也许 | 都 | 反而 | 竟然 | 倒是 | 的确,0.5
见仁见智,43,89,0.30466748425372087,136,0.04521288452733241,0.061053494506383504,1.0,66,4.498685521531732e-20,1.0,4.029384711411683e-19,7-9,jiànrén-jiànzhì,opinions differ (idiom),Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.0
起来,43,89,0.3031887598351815,104,0.009205909904315912,0.013039215695276444,1.0,10,5.262165843850467e-17,1.0,3.7608374714584983e-16,1,qǐlái,"to stand up; to get up; also pr. [qǐ lái]; (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站); indicating completion; (after a perception verb, e.g. 看) expressing preliminary judgment; also pr. [qǐ lai]",Translation,回去 | 想 | 快点儿 | 好好 | 待会儿 | 赶快 | 顺便 | 先 | 回来 | 去 | 空儿 | 帮,1.0
了,43,89,0.29793587223508533,10,0.05223788430445142,0.06925327450889471,0.9999999982038617,136,1.6833462714009062e-9,0.9999999965205154,7.275429955093061e-9,1; 3,le; liǎo,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish; to achieve; variant of 了; to understand clearly; (of eyes) bright; clear-sighted; to understand clearly; unofficial variant of 瞭",Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.75
下去,43,89,0.29750441418925605,104,0.013498705822978851,0.018853091401298767,1.0,104,1.1313053658032586e-14,0.9999999999999887,6.857385782393298e-14,3,xiàqù,to go down; to descend; to go on; to continue; (of a servant) to withdraw,Translation,旁边 | 后边 | 前边 | 那儿 | 外边 | 那边 | 里边 | 后面 | 前面 | 上边 | 上面 | 下边,0.75
无可厚非,43,89,0.29078103757114726,114,0.038352139702634624,0.05130233043155943,1.0,65,1.906258517405161e-15,0.9999999999999981,1.4480997823100976e-14,7-9,wúkěhòufēi,see 非,Translation,也 | 反倒 | 似乎 | 却 | 确实 | 往往 | 也许 | 都 | 反而 | 竟然 | 倒是 | 的确,0.0
成问题,43,89,0.289710720022719,71,0.016428964903627052,0.02260706266748445,1.0,136,8.984832912992404e-27,1.0,1.0251196774075724e-25,7-9,chéngwèntí,to be a problem; problematic; questionable,Translation,你 | 怎么 | 要不 | 要是 | 你们 | 要不然 | 难道 | 不然 | 干吗 | 咱 | 是不是 | 别说,0.25
之类,43,89,0.2863264900306296,136,0.036179743475102055,0.04824909848548274,0.9999999999980389,176,1.967358461868963e-12,0.9999999999960716,1.0397206513593743e-11,6,zhīlèi,and so on; and such,Translation,大多数 | 大部分 | 绝大多数 | 许多 | 一些 | 多数 | 个别 | 众多 | 部分 | 这些 | 那些 | 所有,0.0
压力,44,29,0.35573745298284404,32,0.05711501036169425,0.08143261751223035,1.0,166,2.3945955307082576e-36,1.0,3.706919663683294e-35,3,yālì,pressure,Translation,契机 | 步伐 | 突破口 | 机遇 | 转折点 | 重中之重 | 路子 | 思路 | 方向 | 序幕 | 根基 | 趋势,0.5
冲击,44,29,0.33284045232473064,11,0.008141715794217685,0.0120564202003533,1.0,11,1.0260102339238429e-27,1.0,1.2034104338752836e-26,6,chōngjī,variant of 冲击; to attack; to batter; (of waves) to pound against; shock; impact,Translation,损害 | 伤害 | 侵害 | 危害 | 危及 | 破坏 | 遭受 | 威胁 | 损伤 | 波及 | 祸害 | 妨害,0.0
限制,44,29,0.3270140845641293,56,0.034189510050190663,0.04834657542955662,1.0,56,1.147302036431967e-37,1.0,3.2387136062794284e-36,4,xiànzhì,to restrict; to limit; to confine; restriction; limit,Translation,阻挠 | 阻止 | 阻拦 | 纵容 | 抗拒 | 阻挡 | 逼迫 | 干涉 | 容忍 | 抵抗 | 制止 | 挑衅,0.5
挑战,44,29,0.32681371067117676,71,0.0033608072447135484,0.004967588009371123,1.0,56,3.747341948955759e-46,1.0,7.600280552766762e-45,4,tiǎozhàn,to challenge; challenge,Translation,阻挠 | 阻止 | 阻拦 | 纵容 | 抗拒 | 阻挡 | 逼迫 | 干涉 | 容忍 | 抵抗 | 制止 | 挑衅,0.25
阻力,44,29,0.3267504625903932,71,0.04373531981816614,0.060998944925097956,1.0,94,5.189908316704349e-39,1.0,1.598387635978678e-37,7-9,zǔlì,resistance; drag,Translation,两侧 | 周围 | 附近 | 靠近 | 穿过 | 沿 | 四周 | 僻静 | 环绕 | 周边 | 距 | 深处,0.75
束缚,44,29,0.3246149981251082,164,0.02283382735957107,0.03270296704058583,1.0,174,4.486607537057217e-40,1.0,8.426887514742483e-39,7-9,shùfù,to bind; to restrict; to tie; to commit; fetters,Translation,正义 | 民主 | 人权 | 公正 | 道德 | 宪法 | 伦理 | 公平 | 平等 | 法律 | 尊严 | 人道,0.5
约束,44,29,0.3231075203476262,56,0.048549985103761406,0.06692465283250543,1.0,113,1.3298922372812e-36,1.0,2.0741281263332283e-35,5,yuēshù,to restrict; to limit to; to constrain; restriction; constraint,Translation,执法 | 机关 | 监督 | 监察 | 健全 | 协调 | 治安 | 落实 | 搞好 | 职能 | 防汛 | 干部,0.5
考验,44,29,0.32053601333478315,11,0.0497769174486416,0.06825853729245808,1.0,11,2.514653484185492e-39,1.0,4.21830329309594e-38,3,kǎoyàn,to test; to put to the test; trial; ordeal,Translation,损害 | 伤害 | 侵害 | 危害 | 危及 | 破坏 | 遭受 | 威胁 | 损伤 | 波及 | 祸害 | 妨害,0.0
制约,44,29,0.3162966667765962,150,-0.011452274030175125,-0.016750355707909108,1.0,56,2.320849581996597e-28,1.0,2.7872377476339665e-27,5,zhìyuē,to restrict; condition,Translation,阻挠 | 阻止 | 阻拦 | 纵容 | 抗拒 | 阻挡 | 逼迫 | 干涉 | 容忍 | 抵抗 | 制止 | 挑衅,0.0
极限,44,29,0.31005035218324545,16,0.05807603851571813,0.0776390965936766,1.0,88,7.522933925568526e-42,1.0,1.3444862138374414e-40,7-9,jíxiàn,limit; extreme boundary,Translation,数量 | 次数 | 速度 | 频率 | 强度 | 效率 | 总量 | 密度 | 比重 | 量 | 幅度 | 比例,0.5
支撑,44,29,0.3021747197059268,100,0.044928152887006356,0.06048865058029708,1.0,166,1.5681004233195458e-40,1.0,3.0234465246187955e-39,6,zhīchēng,to prop up; to support; strut; brace,Translation,契机 | 步伐 | 突破口 | 机遇 | 转折点 | 重中之重 | 路子 | 思路 | 方向 | 序幕 | 根基 | 趋势,0.25
底线,44,29,0.29461927175961156,16,0.0165310102881584,0.022898935431986615,1.0,166,3.378450291075142e-35,1.0,5.061197876626293e-34,7-9,dǐxiàn,bottom line; the limit of what one is prepared to accept; (sports) baseline; (sewing) under thread; spy; informer; plant,Translation,契机 | 步伐 | 突破口 | 机遇 | 转折点 | 重中之重 | 路子 | 思路 | 方向 | 序幕 | 根基 | 趋势,1.0
突破,44,29,0.2944106020496914,123,0.005426930065067781,0.007632637748581237,1.0,123,9.422559058517458e-33,1.0,1.3439755293936808e-31,5,tūpò,to break through; to make a breakthrough; to surmount (an obstacle); (sports) to break through the opponent's defense,Translation,高于 | 低于 | 小于 | 超过 | 远远 | 大于 | 超出 | 超越 | 比不上 | 赶不上 | 不亚于 | 接近,0.0
惯性,44,29,0.29426645981634353,16,0.0180202803207421,0.02489835605728949,1.0,28,2.2063320055525754e-31,1.0,2.9394679898097317e-30,7-9,guànxìng,(physics) inertia; (fig.) force of habit; tendency to do things in the accustomed way; habitual,Translation,回升 | 下降 | 回落 | 攀升 | 上升 | 萎缩 | 下跌 | 减弱 | 上涨 | 升高 | 飙升 | 急剧,0.25
挤压,44,29,0.2884985188366171,11,-0.0024408594044674214,-0.0034305752961698594,1.0,28,8.390602100073596e-47,1.0,1.6951155974828016e-45,7-9,jǐyā,to squeeze; to press; to extrude,Translation,回升 | 下降 | 回落 | 攀升 | 上升 | 萎缩 | 下跌 | 减弱 | 上涨 | 升高 | 飙升 | 急剧,0.0
诱惑,44,29,0.2861841910452007,68,0.008439338827922693,0.011684705680300009,1.0,56,1.9691613919694538e-41,1.0,3.4836550778418008e-40,7-9,yòuhuò,to entice; to lure; to induce; to attract,Translation,阻挠 | 阻止 | 阻拦 | 纵容 | 抗拒 | 阻挡 | 逼迫 | 干涉 | 容忍 | 抵抗 | 制止 | 挑衅,0.0
局限,44,29,0.2845880342619013,71,-0.00821957334081641,-0.01148928692062919,1.0,177,3.1698505610491563e-34,1.0,4.6311767639446374e-33,7-9,júxiàn,variant of 限; to limit; to confine; to restrict sth within set boundaries,Translation,简陋 | 陈旧 | 单薄 | 粗糙 | 狭小 | 单调 | 薄弱 | 枯燥 | 狭窄 | 破旧 | 沉闷 | 拥挤,0.25
空间,44,29,0.28015186004131415,32,0.018656766380030665,0.025262887517600075,1.0,166,8.803208666926084e-39,1.0,2.136519012678005e-37,4,kōngjiān,"space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space",Translation,契机 | 步伐 | 突破口 | 机遇 | 转折点 | 重中之重 | 路子 | 思路 | 方向 | 序幕 | 根基 | 趋势,0.5
限度,44,29,0.2793284970005297,88,0.00605702183522433,0.008334641655358218,1.0,77,7.724309973542579e-38,1.0,1.2469247483911884e-36,7-9,xiàndù,limitation; limit,Translation,必须 | 尽量 | 可以 | 应当 | 须 | 随意 | 一律 | 酌情 | 不必 | 以便 | 随时 | 尽可能,0.75
尺度,44,29,0.2713255160057049,88,-0.00400774968276707,-0.005500054922738927,1.0,88,1.760516992332026e-37,1.0,2.8125567823160343e-36,7-9,chǐdù,scale; yardstick,Translation,数量 | 次数 | 速度 | 频率 | 强度 | 效率 | 总量 | 密度 | 比重 | 量 | 幅度 | 比例,0.25
双重,44,29,0.2666203603953869,53,0.008462286976535727,0.0114071295694153,1.0,53,1.3644374603777079e-39,1.0,3.389979880099616e-38,7-9,shuāngchóng,double,Translation,极其 | 极为 | 非常 | 十分 | 尤为 | 愈来愈 | 越发 | 格外 | 很 | 相当 | 日益 | 无比,0.0
缺口,44,29,0.26243663564183267,71,0.003035535737141548,0.004098758095307445,1.0,87,8.51537551668443e-32,1.0,1.3969864268142442e-30,7-9,quēkǒu,nick; jag; gap; shortfall,Translation,利息 | 缴纳 | 支出 | 费用 | 交纳 | 款项 | 税收 | 开支 | 数额 | 手续费 | 减免 | 管理费,0.25
弹性,44,29,0.2600284247172369,85,0.0023134546250515586,0.0031166661482298977,1.0,28,1.3476918479755512e-30,1.0,2.4204538487689983e-29,7-9,tánxìng,flexibility; elasticity,Translation,回升 | 下降 | 回落 | 攀升 | 上升 | 萎缩 | 下跌 | 减弱 | 上涨 | 升高 | 飙升 | 急剧,0.25
整数,44,29,0.2567011969658048,69,0.02761832118686927,0.03582527916314602,1.0,69,6.614200510201728e-29,1.0,1.0398305657422054e-27,7-9,zhěngshù,whole number; integer (math.); round figure,Translation,千克 | 公斤 | 厘米 | 立方米 | 毫米 | 平方米 | 斤 | 吨 | 磅 | 公里 | 米 | 公顷,0.0
落差,44,29,0.25007487014445634,71,-0.018280843485056153,-0.024376891448587002,1.0,97,5.907468276898849e-40,1.0,1.0071216034085322e-38,7-9,luòchā,"drop in elevation; (fig.) gap (in wages, expectations etc); disparity",Translation,相同 | 相似 | 差别 | 相差 | 不相上下 | 截然不同 | 一模一样 | 不同 | 有所不同 | 差异 | 区别 | 大同小异,0.0
风险,44,29,0.24792859265435657,71,-0.03860947404232851,-0.05133751086030043,1.0,192,4.404264443589202e-32,1.0,6.241036846198475e-31,3,fēngxiǎn,risk; hazard,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.25
之下,44,29,0.23509190835817215,109,-0.026606681886620326,-0.03478415534801142,1.0,64,8.552046841306617e-24,1.0,8.573465697518116e-23,5,zhīxià,under; beneath; less than,Translation,迎来 | 到来 | 迎接 | 来临 | 入场 | 开启 | 迎 | 等待 | 步入 | 尾声 | 上演 | 拉开,0.0
禁区,44,29,0.22927763804105109,178,0.007715501761954041,0.009911519109661768,1.0,193,2.737036288602655e-34,1.0,5.35569560510241e-33,7-9,jìnqū,restricted area; forbidden region,Translation,顶级 | 顶尖 | 世界级 | 知名 | 一流 | 国内 | 本土 | 领军 | 全球 | 精英 | 著名 | 重量级,0.5
高度,44,29,0.22856629687733254,53,-0.00852538344370582,-0.011051349466838308,1.0,53,6.327331837440121e-37,1.0,1.0411502476715911e-35,5,gāodù,height; altitude; elevation; high degree; highly,Translation,极其 | 极为 | 非常 | 十分 | 尤为 | 愈来愈 | 越发 | 格外 | 很 | 相当 | 日益 | 无比,0.25
北部,45,54,0.48830525412930503,81,0.18520051981634045,0.2657508652089352,1.0,81,1.7352636645290733e-24,1.0,1.791848251373358e-23,3,běibù,northern part,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
南部,45,54,0.4763584854289694,81,0.18594456696441086,0.2620465251545715,1.0,81,3.817311812268279e-22,1.0,3.553196165520785e-21,3,nánbù,southern part,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
东部,45,54,0.43685072557669397,81,0.1867756558150226,0.2490591368334224,1.0,81,8.87502263040099e-27,1.0,1.0048391016276012e-25,3,dōngbù,the east; eastern part,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
东南,45,54,0.4294021734632925,81,0.1725403402186576,0.2321780093357208,1.0,81,2.1969295769846635e-30,1.0,2.8316425177652836e-29,2,dōngnán,southeast,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
西北,45,54,0.4140753099734208,81,0.16717391629279926,0.22198144424915217,1.0,81,7.597807980698533e-28,1.0,8.954578198994716e-27,2,xīběi,"Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang); northwest",Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
中部,45,54,0.4086763327945029,94,0.11790782815401607,0.16624730983534217,1.0,94,6.761896397494455e-24,1.0,6.808806341220498e-23,3,zhōngbù,middle part; central section,Translation,两侧 | 周围 | 附近 | 靠近 | 穿过 | 沿 | 四周 | 僻静 | 环绕 | 周边 | 距 | 深处,1.0
北边,45,54,0.4083531898239462,104,0.0337747689687109,0.05400320375081452,1.0,104,2.6665360337593147e-30,1.0,3.427172915305387e-29,1,běibian,north; north side; northern part; to the north of,Translation,旁边 | 后边 | 前边 | 那儿 | 外边 | 那边 | 里边 | 后面 | 前面 | 上边 | 上面 | 下边,0.5
东边,45,54,0.40512287674304637,104,0.019655305087331876,0.031984162561263796,1.0,104,1.2301197340482793e-27,1.0,1.4385986635352876e-26,1,dōngbian,east; east side; eastern part; to the east of,Translation,旁边 | 后边 | 前边 | 那儿 | 外边 | 那边 | 里边 | 后面 | 前面 | 上边 | 上面 | 下边,0.5
南边,45,54,0.40171343806129933,104,0.022702760949867062,0.03655901979805998,1.0,104,5.974860765344405e-25,1.0,6.289925335943064e-24,1,nánbian,south; south side; southern part; to the south of,Translation,旁边 | 后边 | 前边 | 那儿 | 外边 | 那边 | 里边 | 后面 | 前面 | 上边 | 上面 | 下边,0.5
沿岸,45,54,0.39960289317341685,81,0.035210268643694365,0.05539625561714533,1.0,81,3.653160040296133e-18,1.0,3.071554056855873e-17,7-9,yán'àn,coastal area; littoral or riparian,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
西部,45,54,0.39876358681232205,81,0.14471792002123118,0.19400372593680212,1.0,125,1.2008485366890453e-26,1.0,1.9797315476109298e-25,3,xībù,western part,Translation,村 | 乡 | 园 | 镇 | 县 | 农场 | 街 | 院 | 寺 | 大队 | 区 | 城,1.0
西南,45,54,0.39861454943370495,94,0.1652137952274994,0.21551520710984354,1.0,81,6.602215724369945e-30,1.0,8.525916272414421e-29,2,xīnán,southwest,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
西边,45,54,0.395411859171725,104,0.011189942323007407,0.018172037344593845,1.0,104,2.515516096153862e-25,1.0,2.6892356292750745e-24,1,xībian,west; west side; western part; to the west of,Translation,旁边 | 后边 | 前边 | 那儿 | 外边 | 那边 | 里边 | 后面 | 前面 | 上边 | 上面 | 下边,0.5
山区,45,54,0.37871418768599135,81,0.021836145065481205,0.03395335023928643,1.0,81,9.388579523517062e-19,1.0,7.355474716166907e-18,5,shānqū,mountain area,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,0.75
沿海,45,54,0.37061824952377276,81,0.07173186619866517,0.10231132942312732,1.0,81,2.079398374292626e-19,1.0,1.6882681232449521e-18,6,yánhǎi,coastal,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
北,45,54,0.36763612244582505,94,0.14303794084370725,0.1844694421006763,1.0,183,2.366666754674129e-32,1.0,3.285652412546047e-31,1,běi,north; (classical) to be defeated,Translation,福 | 德 | 利 | 海 | 宝 | 富 | 腾 | 安 | 俊 | 盛 | 信 | 金,1.0
东北,45,54,0.3645354335173492,160,0.15472791428792076,0.19581041082172135,1.0,81,1.4785023203053873e-26,1.0,1.83862849730438e-25,2,dōngběi,Northeast China; Manchuria; northeast,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
市区,45,54,0.3642445260078634,75,0.07466182464118998,0.10509573005164925,1.0,75,6.161528483333591e-23,1.0,5.957878879256639e-22,4,shìqū,urban district; downtown; city center,Translation,楼房 | 居民楼 | 建筑物 | 大楼 | 教学楼 | 幢 | 宫殿 | 临街 | 公园 | 礼堂 | 操场 | 广场,1.0
郊区,45,54,0.36266301097313614,125,0.08488469870833737,0.11753274673116698,1.0,125,1.1884699742352333e-25,1.0,1.30047287328166e-24,5,jiāoqū,suburban district; outskirts; suburbs,Translation,村 | 乡 | 园 | 镇 | 县 | 农场 | 街 | 院 | 寺 | 大队 | 区 | 城,0.75
南,45,54,0.35537898734220563,167,0.13861200219416336,0.17697415656101143,1.0,183,2.2460062164198005e-30,1.0,2.8946075497447696e-29,1,nán,south; surname Nan,Translation,福 | 德 | 利 | 海 | 宝 | 富 | 腾 | 安 | 俊 | 盛 | 信 | 金,1.0
地区,45,54,0.35505965512559845,125,0.11830167115318307,0.15499889768766012,1.0,176,7.642652527043008e-25,1.0,8.24954635330855e-24,3,dìqū,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)",Translation,大多数 | 大部分 | 绝大多数 | 许多 | 一些 | 多数 | 个别 | 众多 | 部分 | 这些 | 那些 | 所有,1.0
边境,45,54,0.35498501268164584,81,0.0747361044853429,0.1038360418433742,1.0,81,1.3465608707961996e-29,1.0,1.6895156338977845e-28,5,biānjìng,frontier; border,Translation,山岭 | 峡谷 | 湖泊 | 沼泽 | 山谷 | 山坡 | 丘陵 | 礁石 | 山峰 | 沙漠 | 树林 | 大海,1.0
西,45,54,0.35199396430870994,167,0.10976203433738363,0.14484911502437728,1.0,183,3.9160821443704675e-35,1.0,5.990258956979706e-34,1,xī,the West; abbr. for Spain 牙; Spanish; west,Translation,福 | 德 | 利 | 海 | 宝 | 富 | 腾 | 安 | 俊 | 盛 | 信 | 金,1.0
