token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
剧目,8,210,0.34372419567988594,11,0.08498926771981458,0.11465435365236883,0.9516996849876014,137,0.014116530161019315,0.937583154826582,0.05911942127577988,7-9,jùmù,theatrical piece (play or opera); repertoire; list of plays or operas,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
戏,8,210,0.3433832442802065,197,0.06548544350128888,0.09068722345940326,0.9792306433955431,137,0.0034580049205771247,0.975772638474966,0.031995278136145826,5,xì,variant of 戏; trick; drama; play; show,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
电视剧,8,210,0.34289004394451633,137,0.08980090884093045,0.12022975305545275,0.8491658286054977,137,0.0583027726873028,0.790863055918195,0.15620994681098488,3,diànshìjù,TV series; TV drama,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
京剧,8,210,0.3427677109081713,39,0.09309187258264934,0.1240688722790143,0.9742319113824468,118,0.008903300539188058,0.9653286108432587,0.03511704487299659,3,jīngjù,Beijing opera,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
民歌,8,210,0.34112237616915586,9,0.06494561449768527,0.08972579361731925,0.9791764866676687,118,0.014313932919328469,0.9648625537483402,0.024346888973012987,6,míngē,folk song,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
绘画,8,210,0.34093250715576895,11,0.009941867365958812,0.014860580370408074,0.9837488653088772,118,0.004883759459498115,0.978865105849379,0.02245011050031761,6,huìhuà,drawing; painting,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
歌唱,8,210,0.3405265356669059,167,0.03245056195824858,0.04689902464029307,0.9964193254110673,167,0.0015968686469494176,0.9948224567641178,0.005983788117188433,6,gēchàng,to sing,Translation,欢呼 | 掌声 | 喝彩 | 热烈 | 赞叹 | 笑声 | 如醉如痴 | 振奋 | 鼓掌 | 惊叹 | 哄堂大笑 | 欢声笑语,1.0
动画,8,210,0.3402252956014059,137,0.04831433893936854,0.06823201035792426,0.9128319893329463,137,0.04737758338898486,0.8654544059439614,0.08300467167307735,6,dònghuà,animation; cartoon,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
纪录片,8,210,0.3394131488298249,137,0.043737935997223365,0.06209910086101814,0.7486134049328775,137,0.16910604972602752,0.57950735520685,0.1718822801525504,7-9,jìlùpiàn,newsreel; documentary (film or TV program),Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
伴奏,8,210,0.33845015209521073,9,0.04989539939847132,0.07013245163644058,0.9946609636272483,118,0.0017566950689404158,0.9929042685583079,0.008466991057708376,7-9,bànzòu,to accompany (musically),Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
歌手,8,210,0.3380737603180821,53,0.015629782557997962,0.023067882278321204,0.8680320914395172,53,0.05909524240448907,0.8089368490350282,0.11828750948757737,3,gēshǒu,singer,Translation,影迷 | 观众 | 粉丝 | 歌迷 | 球迷 | 听众 | 网民 | 网友 | 读者 | 嘉宾 | 大腕儿 | 明星,1.0
芭蕾,8,210,0.33726682911888783,126,0.011434157917585619,0.01696041535854341,0.7103092504341294,126,0.2763599948537411,0.4339492555803883,0.13045919370158068,7-9,bālěi,ballet (loanword),Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.75
剧,8,210,0.3371975429949532,29,0.09672435856248804,0.12734818123598907,0.9328508833446094,137,0.023483920216321945,0.9093669631282875,0.07919425269191313,6,jù,"theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe",Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
朗诵,8,210,0.33707913411494367,63,-0.03166353824866902,-0.04776367720209775,0.9756416345179222,63,0.019302432791669075,0.9563392017262531,0.02544962198830633,7-9,lǎngsòng,to read aloud with expression; to recite; to declaim,Translation,叙述 | 阐述 | 写 | 论述 | 讲述 | 描绘 | 表述 | 描述 | 描写 | 讲解 | 概括 | 列举,1.0
杂技,8,210,0.337053461391059,126,0.0192448332411283,0.028210314634934782,0.9424310392972058,126,0.05308738557725779,0.8893436537199481,0.04711869505970003,7-9,zájì,acrobatics,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.75
相声,8,210,0.3338943006536112,9,0.04839647533352809,0.06773453888395634,0.9371813598380574,118,0.018142085487604796,0.9190392743504526,0.07770651716931967,5,xiàngsheng,comic dialogue; sketch; crosstalk,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
艺术,8,210,0.33331899573116236,13,-0.012644626135910497,-0.018966531301995108,0.9061227873388733,13,0.020034434571509385,0.886088352767364,0.10550635602040656,3,yìshù,art,Translation,韵味 | 魅力 | 底蕴 | 风貌 | 风情 | 风采 | 气息 | 风范 | 精髓 | 内涵 | 情调 | 风尚,1.0
小说,8,210,0.33156435593541195,11,-0.013560036140611742,-0.02028622539958594,0.6644562909942475,118,0.23213714871280028,0.43231914228144724,0.19866959369361115,2,xiǎoshuō,novel; fiction,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
短片,8,210,0.33145425583197125,137,0.02239693574787227,0.03241504165092023,0.7887852298208936,137,0.1532298093955885,0.6355554204253051,0.14075726147057369,6,duǎnpiàn,short film; video clip,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
主题歌,8,210,0.3307877994743352,118,0.08324182919174267,0.11062712923871909,0.955694488318958,137,0.016469173969918538,0.9392253143490394,0.05288723173553708,7-9,zhǔtígē,theme song,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
编剧,8,210,0.3294883403591966,53,0.06771603555828515,0.09172784494358903,0.8518689041191954,118,0.034808310006977344,0.817060594112218,0.15338051162085717,7-9,biānjù,to write a play; scenario; dramatist; screenwriter,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
旋律,8,210,0.3286202214171474,9,0.012576303056901661,0.018387588610588253,0.9700281103801547,118,0.010716167777354787,0.9593119426028,0.036608756191510605,7-9,xuánlǜ,melody,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
节目,8,210,0.3274648261953534,137,0.014600139056792527,0.021247836901283956,0.8131329080910746,137,0.13050289470282814,0.6826300133882465,0.13816225917554847,2,jiémù,program; item (on a program),Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
小品,8,210,0.32688365762560256,9,0.0648363862679393,0.08785980964827292,0.937490286547499,118,0.01685985120555019,0.9206304353419488,0.07731140326323828,7-9,xiǎopǐn,"short, simple literary or artistic creation; essay; skit",Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
音乐会,8,210,0.3267854162242453,193,-0.010832701590262728,-0.016091008500598764,0.8201758950246284,193,0.08796009553479914,0.7322157994898293,0.14807364563772998,2,yīnyuèhuì,concert,Translation,庆典 | 联欢 | 典礼 | 宴会 | 庆贺 | 祝贺 | 庆祝 | 悼念 | 送行 | 颁奖 | 葬礼 | 招待会,1.0
抒情,8,210,0.3256907623455011,187,-0.013684704040798745,-0.020294403927194053,0.7593516030143341,9,0.1660645724760937,0.5932870305382404,0.1600375721197926,7-9,shūqíng,to express emotion; lyric,Translation,好听 | 风趣 | 动听 | 悦耳 | 难听 | 抑扬顿挫 | 幽默 | 欢快 | 有趣 | 绘声绘色 | 流利 | 清脆,1.0
美术,8,210,0.3252252960682009,11,-0.0029058796334052173,-0.004306444234606141,0.942927500332254,118,0.01826791072492608,0.924659589607328,0.06446526361876392,3,měishù,art; fine arts; painting,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
配音,8,210,0.3250415439106428,144,0.07523091345870572,0.10028256399317843,0.9540693187200763,118,0.020848386706696743,0.9332209320133795,0.04842857925808151,7-9,pèiyīn,dubbing (filmmaking),Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
国画,8,210,0.3238035155639995,11,0.04820439577620528,0.06654381171111264,0.9415637805364206,57,0.015269071123949074,0.9262947094124716,0.0688285152486727,7-9,guóhuà,traditional Chinese painting,Translation,墓 | 遗物 | 遗址 | 宫殿 | 墓地 | 坟墓 | 博物馆 | 墓碑 | 文物 | 壁画 | 纪念馆 | 古迹,1.0
散文,8,210,0.3229880094143975,11,-0.021878929817581605,-0.03231690150518116,0.7288119713693003,118,0.19910230384830752,0.5297096675209928,0.16596568735344416,5,sǎnwén,prose; essay,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
文学,8,210,0.3216283721504397,39,-0.04091088977457297,-0.060307489427676456,0.7308095254533501,39,0.09592094762470532,0.6348885778286448,0.21191280294219614,3,wénxué,literature,Translation,宗教 | 儒家 | 儒学 | 哲学 | 基督教 | 封建 | 佛教 | 政党 | 伦理 | 伊斯兰教 | 政治 | 宪法,1.0
主演,8,210,0.31984251571075767,53,0.06413972531833162,0.08617488348794003,0.7476035619930664,31,0.060676906985537946,0.6869266550075285,0.2519564705083226,7-9,zhǔyǎn,to act the leading role (in a movie or a play); to star; lead actor,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,1.0
演戏,8,210,0.31972749395894146,94,-0.022513048401516578,-0.033094161827198376,0.791740751029682,94,0.08585272911745831,0.7058880219122237,0.189245654920273,7-9,yǎnxì,to put on a play; to perform; fig. to pretend; to feign,Translation,聊天儿 | 玩耍 | 打盹儿 | 溜达 | 散步 | 嬉笑 | 打牌 | 跳舞 | 晒太阳 | 侃大山 | 吃饭 | 玩儿,0.75
剧情,8,210,0.31780295310249884,144,0.05061213606498549,0.0690659140765385,0.8967004495001748,118,0.05793704320997008,0.8387634062902047,0.09325201608532177,7-9,jùqíng,story line; plot; drama (genre),Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
片子,8,210,0.31728170293854085,172,0.036737653233252676,0.051063102915757004,0.715253743973281,118,0.0991969532767233,0.6160567906965577,0.24252661651445012,7-9,piānzi,film; movie; film reel; phonograph record; X-ray image; thin flake; small piece,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
排练,8,210,0.31652191552899156,94,0.025184442016634945,0.03553799033435144,0.803249773496139,199,0.09988329844450322,0.7033664750516357,0.1618114239023236,7-9,páiliàn,to rehearse; rehearsal,Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,1.0
专辑,8,210,0.314279445533095,11,0.042696532309936086,0.05861550076874675,0.743652466646975,137,0.0885416682525025,0.6551107983944725,0.21715817473911567,5,zhuānjí,album; record (music); special collection of printed or broadcast material,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
乐队,8,210,0.3140739445317195,167,0.0798174364673484,0.10423521362955082,0.9165302980613538,126,0.012425342591257561,0.9041049554700962,0.10427291209961385,3,yuèduì,band; pop group,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
画册,8,210,0.31363170387791284,11,-0.09971143838448343,-0.14527395706917587,0.6254960724514628,11,0.1187101799233609,0.5067858925281019,0.245804083056189,7-9,huàcè,picture album,Translation,书籍 | 报刊 | 报纸 | 刊物 | 图书 | 印刷术 | 造纸术 | 册 | 发明,0.75
油画,8,210,0.31314489692363034,57,0.053148755495665,0.07182226805982432,0.8367933934574721,157,0.06892696132089175,0.7678664321365803,0.15328633800531236,7-9,yóuhuà,oil painting,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,1.0
摇滚,8,210,0.31193975913071254,13,0.03478989418611844,0.0481287787038344,0.8579866314459723,126,0.022920643186240815,0.8350659882597316,0.17056174655095477,7-9,yáogǔn,rock 'n' roll (music); to rock; to fall off,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
演唱会,8,210,0.31167608879881603,193,0.011601081645708222,0.01657474981500768,0.7906660538281325,137,0.11127472395480296,0.6793913298733295,0.17153081726703645,3,yǎnchànghuì,vocal recital or concert,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
诗,8,210,0.3079860143324756,115,0.023882414109717087,0.033360153951253683,0.8360684455256289,118,0.06977127508388486,0.7662971704417441,0.14166899684149029,4,shī,"abbr. for Shijing 诗经, the Book of Songs; poem; poetry; verse",Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
画展,8,210,0.3071275989469757,193,0.013515337192008037,0.01913302915702626,0.8062734293958456,57,0.050859630259907244,0.7554137991359383,0.18749443609582983,7-9,huàzhǎn,art exhibition,Translation,墓 | 遗物 | 遗址 | 宫殿 | 墓地 | 坟墓 | 博物馆 | 墓碑 | 文物 | 壁画 | 纪念馆 | 古迹,1.0
木偶,8,210,0.305194992858761,197,0.022677965988627036,0.031607671314761866,0.9331569225673871,126,0.027220168326444423,0.9059367542409427,0.07237919187713461,7-9,mù'ǒu,puppet,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
故事,8,210,0.30477352053109463,130,-0.03087269493729211,-0.04440667300370422,0.5793195446410527,63,0.11140989121040261,0.4679096534306501,0.31187841263379906,2,gùshi,old practice; narrative; story; tale,Translation,叙述 | 阐述 | 写 | 论述 | 讲述 | 描绘 | 表述 | 描述 | 描写 | 讲解 | 概括 | 列举,0.75
画,8,210,0.30472712342943004,72,-0.04114529379569287,-0.05917862638140269,0.6882665526694104,157,0.05209513179294522,0.6361714208764652,0.2788321689808573,2,huà,to draw; to paint; picture; painting; to draw (a line) (variant of 划); stroke of a Chinese character (variant of 划); (calligraphy) horizontal stroke (variant of 划),Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,0.75
文艺,8,210,0.3043958363439595,39,0.007012951803756551,0.009981185555332346,0.6682010660413265,109,0.07102076647295856,0.5971802995683679,0.31199507114144887,5,wényì,literature and art,Translation,干部 | 军官 | 军人 | 士兵 | 警察 | 医务 | 教师 | 职员 | 工人 | 公民 | 官兵 | 学生,1.0
出演,8,210,0.30383504880726836,105,0.04624593012190509,0.06229155752676235,0.6536960611761586,105,0.03949722196326233,0.6141988392128963,0.341687080779929,7-9,chūyǎn,to appear (in a show etc); an appearance (on stage etc),Translation,抚养 | 收养 | 成家 | 赡养 | 年迈 | 独身 | 退休 | 娶 | 离婚 | 去世 | 岁 | 岁数,0.75
笛子,8,210,0.30324339203495665,197,-0.06596806519506149,-0.09467877942016036,0.8516005535480828,157,0.06319660870106866,0.7884039448470141,0.1382515791073318,7-9,dízi,bamboo flute,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,1.0
唱,8,210,0.3032289135412295,9,-0.003314819402494895,-0.004757400912460279,0.980413409960354,63,0.0023103016319872376,0.9781031083283668,0.029647374490600512,1,chàng,to sing; to call loudly; to chant,Translation,叙述 | 阐述 | 写 | 论述 | 讲述 | 描绘 | 表述 | 描述 | 描写 | 讲解 | 概括 | 列举,0.75
歌,8,210,0.30314656320753935,197,0.019222399404472956,0.02684408331184982,0.9838576793708372,118,0.005109456254790722,0.9787482231160465,0.02433569821764427,1,gē,song; to sing; variant of 歌,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
歌星,8,210,0.30299986792747935,53,-0.03483738901784883,-0.04998189729786753,0.6743229260215935,53,0.1713064976853925,0.503016428336201,0.21339176083336273,6,gēxīng,singing star; famous singer,Translation,影迷 | 观众 | 粉丝 | 歌迷 | 球迷 | 听众 | 网民 | 网友 | 读者 | 嘉宾 | 大腕儿 | 明星,1.0
小提琴,8,210,0.3026615051226712,197,-0.008403743061538294,-0.012051167579694105,0.8748872815336926,126,0.09058636954611728,0.7843009119875752,0.1009040260394227,7-9,xiǎotíqín,fiddle; violin,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.75
吉他,8,210,0.30187148347024667,197,-0.043397817227170954,-0.06216307771367394,0.8942388134890196,126,0.03844567767062399,0.8557931358183956,0.10145594141987678,7-9,jítā,guitar (loanword),Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
童话,8,210,0.3015375077211049,187,0.011963468817010714,0.016839853091173387,0.7540724581039241,112,0.025820445351319724,0.7282520127526043,0.26182126757982727,4,tónghuà,children's fairy tales,Translation,习俗 | 地名 | 来历 | 俗语 | 由来 | 传说 | 涵义 | 起源 | 姓氏 | 风俗 | 称呼 | 古代,1.0
秧歌,8,210,0.3013715397244289,126,0.03497890538490178,0.047680690001537934,0.977156552578024,126,0.010140821811118752,0.9670157307669053,0.030852258612596065,7-9,yāngge,"Yangge, a popular rural folk dance",Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
画面,8,210,0.30091671379828383,144,-0.013373381433525344,-0.019129882944543167,0.8377323176863061,137,0.08734266941446385,0.7503896482718422,0.13528129670726893,5,huàmiàn,scene; tableau; picture; image; screen (displayed by a computer); (motion picture) frame; field of view,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
画家,8,210,0.30086083852475043,39,0.03172115367109385,0.04340248473436703,0.567944871088776,31,0.19015908931706318,0.37778578177171285,0.3164306793904468,2,huàjiā,painter,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,1.0
连续剧,8,210,0.30081416197869737,11,0.06481985823584333,0.08484211381328045,0.5980113671534435,118,0.07471164816924564,0.5232997189841979,0.40358547170924525,3,liánxùjù,serialized drama; dramatic series; show in parts,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
科幻,8,210,0.3006037607129976,48,0.0028345991954949468,0.004036563249800447,0.8035916767829417,126,0.02833433606114321,0.7752573407217985,0.21930817092623145,7-9,kēhuàn,science fiction; abbr. for 科学幻想,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
摄影,8,210,0.29992066268760026,66,0.0170720715479446,0.023805393584981738,0.6969963339611671,126,0.09045937685926068,0.6065369571019065,0.2603269262498542,5,shèyǐng,to take a photograph; photography; to shoot (a movie),Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,1.0
唱片,8,210,0.29966737020761003,11,0.012453239757670875,0.017471221428017172,0.7021921198241041,137,0.10310399459571344,0.5990881252283907,0.2564282222629581,4,chàngpiàn,gramophone record; LP; music CD; musical album,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,1.0
剧团,8,210,0.29859683623074706,26,0.06134799986916817,0.08042990006928383,0.7048259065218379,199,0.08748985626639763,0.6173360502554402,0.2718697060723089,7-9,jùtuán,theatrical troupe,Translation,补习 | 课程 | 入学 | 高中 | 研究生 | 学校 | 初中 | 大学 | 选修 | 本科 | 考试 | 报考,1.0
演,8,210,0.2983271802901928,50,-0.0028180209401484357,-0.004016146644121042,0.9316419500910886,50,0.010049942057364565,0.9215920080337241,0.09189217992792124,3,yǎn,to develop; to evolve; to practice; to perform; to play; to act,Translation,伺候 | 侍候 | 干活儿 | 做饭 | 使唤 | 捡 | 喂 | 遛 | 打扫 | 收拾 | 活儿 | 陪,0.75
舞台,8,210,0.29770430003833304,106,0.016528144072458062,0.02299331638708609,0.7237793798607864,26,0.06623031016731894,0.6575490696934675,0.26580946708257963,3,wǔtái,(lit. and fig.) stage; arena,Translation,商场 | 旅馆 | 饭店 | 餐厅 | 宾馆 | 饭馆 | 餐馆 | 酒楼 | 酒吧 | 停车场 | 舞厅 | 公园,0.0
改编,8,210,0.29696734427343047,63,0.02653120443010948,0.0363658424972032,0.7401316234128424,63,0.12315737818342203,0.6169742452294205,0.19498012920660784,7-9,gǎibiān,to adapt; to rearrange; to revise,Translation,叙述 | 阐述 | 写 | 论述 | 讲述 | 描绘 | 表述 | 描述 | 描写 | 讲解 | 概括 | 列举,1.0
舞,8,210,0.2961294806313198,197,-0.03910431266271519,-0.055556116624672636,0.9453447019862053,197,0.01650901565637313,0.9288356863298323,0.06789386693590334,5,wǔ,to dance; to wield; to brandish,Translation,棍 | 剑 | 刀 | 枪 | 拳 | 禅杖 | 箭 | 琴 | 棋 | 弦 | 棋子 | 算盘,1.0
马戏,8,210,0.2958581584116761,126,0.0013096022565077248,0.001856403113118917,0.8373931512753451,126,0.12567466168512956,0.7117184895902156,0.12179823563833045,7-9,mǎxì,circus,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.75
书法,8,210,0.2952925693020392,11,-0.011236645438191917,-0.01594512126410083,0.9443428837469866,118,0.013529329503114222,0.9308135542438724,0.06461473755592341,5,shūfǎ,calligraphy; handwriting; penmanship,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
图画,8,210,0.2950257478639259,11,-0.045771228359361926,-0.06492609938685706,0.9345546455324739,118,0.02881593620718106,0.9057387093252929,0.06959653852485059,3,túhuà,drawing; picture,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
素描,8,210,0.29289938253255804,144,0.014152652794631237,0.019622306585159486,0.7028583301984411,118,0.14781851727187684,0.5550398129265643,0.22668220276923282,7-9,sùmiáo,sketch,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
乐器,8,210,0.29148502615666566,197,-0.02678772611113245,-0.037808270961194546,0.9463008442239239,157,0.022928415109158183,0.9233724291147657,0.05780486641247174,7-9,yuèqì,musical instrument,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,1.0
年画,8,210,0.2909440061515305,11,-0.0448483621662461,-0.06325080466893357,0.7677541402468512,157,0.12010219898302588,0.6476519412638253,0.18479288727773346,7-9,niánhuà,New Year (Spring Festival) picture,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,1.0
中国画,8,210,0.29092624622554647,13,0.0564684401411594,0.0737626751209274,0.8555565439215094,118,0.034852057884447174,0.8207044860370623,0.15976172259255603,7-9,zhōngguóhuà,Chinese painting,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
艺人,8,210,0.2901925158228359,53,-0.017213276088989593,-0.024250626363772253,0.34196014689474563,31,0.252115231368928,0.08984491552581764,0.34082973024238716,6,yìrén,performing artist; actor,Translation,姐姐 | 妹妹 | 姑姑 | 哥哥 | 舅舅 | 母亲 | 嫂子 | 妈妈 | 爸爸 | 媳妇 | 父亲 | 闺女,0.75
武术,8,210,0.29014596277909266,126,-0.07239057824358724,-0.10197952599804581,0.6371931489965355,126,0.34389279713073895,0.2933003518657965,0.1455008259264819,3,wǔshù,military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫,Translation,滑冰 | 游泳 | 体操 | 滑雪 | 田径 | 篮球 | 乒乓球 | 网球 | 羽毛球 | 举重 | 排球 | 摔跤,0.75
华语,8,210,0.28975230157048704,53,0.01605287634775837,0.022102249268742657,0.7242060889770244,118,0.13629115344289885,0.5879149355341255,0.21665317774780726,5,Huáyǔ,Chinese language,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
字幕,8,210,0.2893282875591402,118,-0.031227773115465596,-0.043941207408145354,0.5757970714002502,118,0.2223200726847916,0.35347699871545857,0.21301366836167637,7-9,zìmù,caption; subtitle,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,1.0
放映,8,210,0.28854471604735066,137,-0.002250551503296394,-0.0031633070328650962,0.5700881266545975,137,0.39319767025561064,0.17689045639898687,0.17389571416136837,7-9,fàngyìng,to show (a movie); to screen,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,0.5
