partition,anchor,community,size,duplicate_of_anchor,centers,fixed_sample,boundary,members
cosine k=10 q=0.1,焦虑,752,15,,疑虑 担忧 忧虑 顾虑 疑问 困惑 担心 怀疑,怨言 质疑 疑问 忧虑 异议 后顾之忧 困扰 顾虑,焦虑 异议 怨言 烦恼 困扰 质疑,后顾之忧 困惑 困扰 异议 忧虑 怀疑 怨言 担心 担忧 烦恼 焦虑 疑虑 疑问 质疑 顾虑
cosine k=10 q=0.1,政策,839,13,,紧缩 放松 宽松 松弛 紧 收缩 松绑 缩,收缩 宽松 调控 松 紧 紧缩 收敛 麻痹,麻痹 政策 松 调控 松弛 收敛,宽松 收敛 收缩 放松 政策 松 松弛 松绑 紧 紧缩 缩 调控 麻痹
cosine k=10 q=0.1,合同,567,19,,协议 签订 签署 合同 协议书 协定 订立 约定,达成 协议 约定 生效 意向 契约 签署 签,签字 意向 达成 公约 条款 签约,公约 协定 协议 协议书 合同 合约 契约 意向 条款 条约 生效 签 签字 签约 签署 签订 约定 订立 达成
cosine k=10 q=0.1,银行,457,9,,存款 活期 理财 余额 储蓄 零钱 银行 现金,活期 宝 现金 理财 储蓄 零钱 余额 存款,零钱 宝 现金 余额 储蓄 银行,余额 储蓄 存款 宝 活期 现金 理财 银行 零钱
cosine k=10 q=0.1,软件,581,21,,硬盘 电脑 显示器 屏幕 键盘 鼠标 磁盘 笔记本,液晶 内存 计算机 服务器 电脑 芯片 硬盘 手机,打印机 键 杀毒 笔记本 屏幕 液晶,内存 屏幕 手机 打印机 按键 显示器 服务器 杀毒 浏览器 液晶 电脑 硬件 硬盘 磁盘 笔记本 芯片 计算机 软件 键 键盘 鼠标
cosine k=10 q=0.1,感冒,155,25,,咳嗽 呕吐 头晕 疼痛 腹泻 痒 疼 发炎,胀 疼痛 咳嗽 喘 心慌 不适 出汗 发烧,喘 胀 过敏 出血 止咳 心慌,不适 出汗 出血 发炎 发烧 发热 呕吐 咳 咳嗽 喘 失眠 头晕 心慌 恶心 感冒 晕车 止咳 疼 疼痛 痒 痛 肿 胀 腹泻 过敏
cosine k=10 q=0.1,火车,560,25,,列车 火车 电车 公共汽车 公交车 慢车 车站 地铁,线路 地铁 公交车 火车 公共汽车 巴士 电车 慢车,出租车 晚点 长途 趟 地铁站 卧铺,公交车 公共汽车 出租车 列车 卧铺 地铁 地铁站 大巴 客运 巴士 快车 慢车 晚点 火车 特快 电车 站台 线路 缆车 趟 车厢 车站 铁路 长途 高铁
cosine k=10 q=0.1,妈妈,433,43,,奶奶 爷爷 姑姑 舅舅 姥姥 姥爷 爸爸 爸,爹 老人家 叔叔 姑姑 姨 岳父 母 老汉,继母 母 老大 老头儿 姨 继父,伯伯 伯母 伯父 叔叔 外公 外婆 大人 大哥 大妈 大姐 大爷 奶奶 妈 妈妈 姑姑 姥姥 姥爷 姨 岳母 岳父 母 母亲 父亲 父母 爷爷 爸 爸爸 爹 祖母 祖父 继母 继父 老人 老人家 老伴儿 老大 老太太 老头儿 老汉 老王 舅舅 长辈 阿姨
cosine k=10 q=0.1,为什么,240,11,,为什么 难道 难怪 怪不得 为何 因为 所以 以为,以为 难怪 因为 为何 所以 为什么 莫非 之所以,敢情 因为 所以 莫非 为何 难道,为什么 为何 之所以 以为 因为 怪不得 所以 敢情 莫非 难怪 难道
cosine k=10 q=0.1,公斤,343,26,,公斤 斤 千克 平方米 公顷 立方米 亩 吨,桶 尺 公斤 多元 千克 毫升 吨 立方,面积 美元 毫升 寸 克 亩,亩 倍 元 克 公斤 公里 公顷 千克 厘米 吨 多元 寸 尺 平方 平方米 斤 桶 毫升 毫米 磅 立方 立方米 米 美元 美金 面积
cosine k=10 q=0.1,花,607,11,,挣 赚 钱 掏 攒 零花钱 花 掏钱,掏 花 钱 零花钱 捞 赚 掏钱 攒,花 捞 凑 私房钱 掏 掏钱,凑 挣 捞 掏 掏钱 攒 私房钱 花 赚 钱 零花钱
cosine k=10 q=0.1,行,769,2,,哄 行,行 哄,哄 行,哄 行
snn k=40 q=0.3,苹果,60,48,,红薯 西红柿 茄子 黄瓜 南瓜 柿子 白菜 辣椒,豆腐 苹果 火腿 香蕉 白菜 核桃 葡萄 黄瓜,丁 茶叶 姜 鲜 水果 苹果,丁 南瓜 土豆 大米 姜 果实 枣 柿子 核桃 桂花 桃 梨 椰子 橘子 水果 火腿 玉米 玫瑰 瓜 瓜子 番茄 白菜 百合 红薯 芝麻 花生 苹果 茄子 茶叶 莲子 菊花 萝卜 葡萄 葱 蒜 蔬菜 蘑菇 虾 蜜 西瓜 西红柿 豆子 豆腐 辣椒 香蕉 鲜 鸡蛋 黄瓜
snn k=40 q=0.3,牛奶,283,52,,果汁 饮料 酸奶 牛奶 橙汁 汽水 红酒 啤酒,矿泉水 易拉罐 乳制品 饮料 豆浆 橙汁 咖啡 杯,茶 喝 杯 烟 瓶 红茶,乳制品 冰棍儿 口香糖 可乐 咖啡 啤酒 喝 奶 奶粉 奶茶 巧克力 方便面 易拉罐 杯 果汁 果酱 橙汁 汽水 沐浴露 洗衣粉 烟 牙膏 牛奶 瓶 白酒 矿泉水 糖 糖果 红茶 红酒 纯净水 绿茶 罐头 茅台 茶 葡萄酒 薯片 蜂蜜 豆制品 豆浆 酒 酒水 酒精 酒鬼 酸奶 酿造 零食 食品 饮料 饼干 香水 香烟
snn k=40 q=0.3,咖啡,283,52,牛奶,果汁 饮料 酸奶 牛奶 橙汁 汽水 红酒 啤酒,绿茶 葡萄酒 饮料 豆浆 纯净水 牙膏 牛奶 酿造,茶 喝 杯 烟 瓶 红茶,乳制品 冰棍儿 口香糖 可乐 咖啡 啤酒 喝 奶 奶粉 奶茶 巧克力 方便面 易拉罐 杯 果汁 果酱 橙汁 汽水 沐浴露 洗衣粉 烟 牙膏 牛奶 瓶 白酒 矿泉水 糖 糖果 红茶 红酒 纯净水 绿茶 罐头 茅台 茶 葡萄酒 薯片 蜂蜜 豆制品 豆浆 酒 酒水 酒精 酒鬼 酸奶 酿造 零食 食品 饮料 饼干 香水 香烟
snn k=40 q=0.3,衬衫,54,75,,衬衣 衬衫 毛衣 大衣 裙子 衣服 上衣 外套,地毯 上衣 织 雨衣 毛巾 书包 打扮 穿,首饰 化纤 保暖 戒指 手表 布,一身 上衣 丝绸 书包 伞 保暖 内衣 凉鞋 制服 化纤 发型 口罩 围巾 地毯 外套 外衣 大衣 婚纱 定做 尼龙 布 帽子 戒指 戴 手套 手帕 手表 打扮 拉锁 拖鞋 旗袍 时装 服 服装 服饰 款式 毛巾 毛衣 毯子 牛仔裤 球鞋 皮包 皮带 皮鞋 眼镜 睡袋 短裤 礼服 穿 穿着 纱 纽扣 织 绷带 羽绒服 背包 背心 蚊帐 衣服 衬衣 衬衫 袜子 被子 装扮 裙子 裤子 西装 辫子 雨衣 靴子 鞋 项链 领带 首饰 高跟鞋
snn k=40 q=0.3,足球,175,65,,田径 乒乓球 举重 体操 网球 羽毛球 摔跤 排球,跳远 太极拳 决赛 金牌 赛场 奥运会 联赛 武术,无缘 大赛 奖杯 健身 划船 太极拳,世界杯 东道主 举重 乒乓球 亚军 亚运会 体操 体育 健美 健身 入场券 冠军 冲浪 决赛 划船 半决赛 单打 参赛 双打 台球 大奖赛 大赛 太极拳 夺冠 夺魁 奖杯 奖牌 奥运会 射击 打球 排球 接力 摔跤 无缘 棒球 武术 比赛 游泳 滑冰 滑雪 爆冷门 田径 竞技 篮球 网球 羽毛球 联赛 赛 赛场 赛车 足球 跳水 跳远 跳高 运动 运动会 运动员 选手 金牌 铜牌 银牌 长跑 预赛 高尔夫球 龙舟
snn k=40 q=0.3,老师,25,122,,姑姑 舅舅 妹妹 姐姐 母亲 嫂子 奶奶 哥哥,宝宝 女儿 嫁 太太 全家 岳母 母子 夫妇,女士 老家 本人 他 宝宝 全家,一家人 丈夫 两口子 丫头 亲人 亲属 亲戚 亲生 他 伯伯 伯母 伯父 保姆 儿女 儿子 兄弟 全家 公主 双胞胎 叔叔 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 夫妇 女儿 女士 女婿 女朋友 奶奶 她 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姥姥 姥爷 姨 娃娃 娘 娶 媳妇 嫁 嫂子 子 子女 孙女 孙子 孩子 孪生 宝宝 宝贝 家人 家属 寡妇 小姐 小孩儿 小时候 小王 岳母 岳父 师傅 师父 弟 弟弟 徒弟 恩人 新娘 新郎 本人 母 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 王后 男朋友 皇后 相依为命 祖母 祖父 继母 继父 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 舅舅 邻居 配偶 长辈 闺女 阿姨
snn k=40 q=0.3,焦虑,46,44,,慌张 惊慌 慌乱 焦急 焦躁 茫然 不安 惊慌失措,受惊 焦急 忧虑 措手不及 害怕 犯愁 迟疑 心急如焚,顾虑 忙乱 匆忙 迷惑 发愁 措手不及,一筹莫展 不安 匆忙 发愁 受惊 困惑 垂头丧气 害怕 心急如焚 忙乱 忧虑 恐惧 恐慌 惊慌 惊慌失措 愁眉苦脸 慌 慌乱 慌张 戒备 担心 担忧 措手不及 提心吊胆 烦恼 焦急 焦虑 焦躁 犯愁 犹豫 犹豫不决 狼狈 畏惧 畏缩 疑虑 着急 窘迫 紧张 胆怯 苦恼 茫然 迟疑 迷惑 顾虑
snn k=40 q=0.3,政策,441,33,,制定 制订 颁布 实施 施行 法规 出台 规定,现行 规定 法律 采取 准则 草案 落实 拟定,试点 制度 落实 开展 采取 拟定,修订 准则 出台 刑法 制定 制度 制订 实施 实行 宪法 开展 执行 拟定 推行 政策 施行 条例 法 法律 法规 现行 编制 草案 落实 规则 规定 规范 试点 试行 贯彻 起草 采取 颁布
snn k=40 q=0.3,合同,504,21,,协议 签订 签署 协定 协议书 合同 订立 条约,达成 协议 约定 生效 意向 契约 签署 宣言,达成 签约 意向 合约 宣言 决议,公约 决议 协定 协议 协议书 合同 合约 契约 宣言 意向 条款 条约 生效 签 签字 签约 签署 签订 约定 订立 达成
snn k=40 q=0.3,银行,355,32,,贷款 还款 存款 利息 外币 信用卡 余额 信贷,还款 信用 债务 到期 汇款 利率 抵押 信贷,余额 理财 信用卡 账户 账 活期,付款 余额 信用 信用卡 信贷 债 债务 偿还 储蓄 兑换 公积金 利息 利率 到期 取款 外币 存款 抵押 担保 款项 汇款 活期 现金 理财 账 账户 贷款 资金 还款 违约 逾期 银行
snn k=40 q=0.3,软件,476,35,,电脑 硬盘 显示器 键盘 屏幕 按键 打印机 笔记本,电视机 液晶 彩电 内存 录音机 计算机 服务器 电脑,磁带 游戏机 充电器 彩电 闹钟 开关,充电器 内存 屏幕 开关 录音机 彩电 手机 打印机 按键 收音机 显示器 服务器 杀毒 浏览器 液晶 游戏机 电源 电脑 电视机 硬件 硬盘 磁带 磁盘 笔记本 耳机 芯片 计算机 话筒 软件 键 键盘 闹钟 音响 音量 鼠标
snn k=40 q=0.3,感冒,218,59,,急性 疾病 病症 慢性 炎症 癌症 发病 症状,防治 服用 阴性 病情 患有 肿瘤 霍乱 精神病,生病 服用 防治 衰竭 休克 晚期,中毒 休克 传染 传染病 免疫 出血 副作用 发作 发炎 发病 后遗症 复发 失明 心脏病 急性 恶性 患 患有 患病 患者 感冒 感染 慢性 抑郁 抑郁症 晚期 服用 残疾 治愈 流感 炎症 生病 畸形 疾病 病 病情 病毒 病症 症状 痴呆 癌 癌症 确诊 精神病 糖尿病 职业病 肥胖 肿瘤 腹泻 艾滋病 血栓 衰竭 过敏 近视 防治 阳性 阴性 霍乱 高血压
snn k=40 q=0.3,火车,96,46,,列车 火车 慢车 车票 车站 卧铺 乘客 电车,线路 地铁 往返 退票 车票 火车 公共汽车 搭乘,往返 列 下车 隧道 上车 退票,上车 下车 乘 乘坐 乘客 乘车 公共汽车 列 列车 卧铺 售票 地铁 地铁站 天桥 安检 客流 客运 巴士 往返 快车 慢车 搭乘 旅客 晚点 火车 特快 电车 登机 直达 票价 站台 线路 缆车 航班 行李 趟 车厢 车票 车站 轨道 退票 通车 铁路 长途 隧道 高铁
snn k=40 q=0.3,妈妈,25,122,老师,姑姑 舅舅 妹妹 姐姐 母亲 嫂子 奶奶 哥哥,父女 她 老婆 哥哥 夫妇 姐妹 爹 老人家,女士 老家 本人 他 宝宝 全家,一家人 丈夫 两口子 丫头 亲人 亲属 亲戚 亲生 他 伯伯 伯母 伯父 保姆 儿女 儿子 兄弟 全家 公主 双胞胎 叔叔 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 夫妇 女儿 女士 女婿 女朋友 奶奶 她 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姥姥 姥爷 姨 娃娃 娘 娶 媳妇 嫁 嫂子 子 子女 孙女 孙子 孩子 孪生 宝宝 宝贝 家人 家属 寡妇 小姐 小孩儿 小时候 小王 岳母 岳父 师傅 师父 弟 弟弟 徒弟 恩人 新娘 新郎 本人 母 母亲 母女 母子 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 王后 男朋友 皇后 相依为命 祖母 祖父 继母 继父 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 舅舅 邻居 配偶 长辈 闺女 阿姨
snn k=40 q=0.3,为什么,146,29,,怎么 什么 怎样 呢 究竟 哪里 哪儿 干什么,请问 什么样 哪里 怎么 有没有 何处 谁 怎样,有没有 是不是 为什么 多久 不知 谁,不知 为什么 为何 什么 什么样 何处 何时 到底 吗 呢 哪 哪些 哪儿 哪里 多久 多少 如何 干什么 干吗 怎么 怎么办 怎么样 怎样 是不是 是否 有没有 究竟 请问 谁
snn k=40 q=0.3,公斤,62,33,,公斤 斤 千克 吨 立方米 公顷 平方米 亩,桶 尺 公斤 多元 万 千克 毫升 吨,左右 秒 马力 多元 美元 余,万 亩 人次 亿 余 倍 元 克 公斤 公里 公顷 千克 厘米 吨 块 多元 寸 尺 左右 平方 平方米 斤 桶 毫升 毫米 磅 秒 立方 立方米 米 美元 美金 马力
snn k=40 q=0.3,花,646,43,,柳树 松树 桃树 柏树 树木 槐树 树叶 棵,树 禾苗 花卉 茂盛 桃花 叶子 梅花 植物,植物 朵 碧绿 开花 花 枝,叶子 奇花异草 开花 朵 杨树 松树 枝 柏树 柳树 树 树叶 树木 树林 树枝 树梢 树荫 株 栽 桃树 桃花 梅花 棵 植物 槐树 牡丹 盛开 碧绿 禾苗 竹子 翠绿 芦花 花 花卉 花瓣 芽 苗 茂密 茂盛 茎 荆棘 草 荷花 鲜花
snn k=40 q=0.3,行,929,1,,行,行,行,行
local k=10 q=0.1,苹果,705,31,,红薯 西红柿 南瓜 西瓜 茄子 柿子 黄瓜 香蕉,苹果 香蕉 白菜 核桃 葡萄 黄瓜 梨 椰子,菜 水果 百合 瓜子 芝麻 苹果,南瓜 土豆 枣 柿子 核桃 桃 梨 椰子 橘子 水果 瓜 瓜子 番茄 白菜 百合 红薯 芝麻 花生 苹果 茄子 莲子 菜 萝卜 葡萄 蘑菇 西瓜 西红柿 豆子 辣椒 香蕉 黄瓜
local k=10 q=0.1,牛奶,740,21,,果汁 牛奶 酸奶 红茶 橙汁 饮料 奶茶 汽水,矿泉水 茶叶 饮料 豆浆 橙汁 咖啡 果酱 可乐,罐头 纯净水 果酱 矿泉水 茶叶 豆浆,可乐 咖啡 奶 奶粉 奶茶 果汁 果酱 橙汁 汽水 牛奶 矿泉水 红茶 纯净水 绿茶 罐头 茶 茶叶 蜂蜜 豆浆 酸奶 饮料
local k=10 q=0.1,咖啡,740,21,牛奶,果汁 牛奶 酸奶 红茶 橙汁 饮料 奶茶 汽水,绿茶 饮料 豆浆 纯净水 牛奶 果汁 罐头 红茶,罐头 纯净水 果酱 矿泉水 茶叶 豆浆,可乐 咖啡 奶 奶粉 奶茶 果汁 果酱 橙汁 汽水 牛奶 矿泉水 红茶 纯净水 绿茶 罐头 茶 茶叶 蜂蜜 豆浆 酸奶 饮料
local k=10 q=0.1,衬衫,100,43,,衬衣 衬衫 上衣 毛衣 裙子 短裤 外套 大衣,上衣 雨衣 穿 裤子 高跟鞋 款式 外套 衣服,口罩 服 戴 婚纱 纽扣 手套,上衣 内衣 凉鞋 制服 口罩 围巾 外套 外衣 大衣 婚纱 帽子 戴 手套 拖鞋 旗袍 服 服装 服饰 款式 毛衣 牛仔裤 球鞋 皮鞋 眼镜 短裤 礼服 穿 穿着 纽扣 羽绒服 背心 衣服 衬衣 衬衫 袜子 裙子 裤子 西装 雨衣 靴子 鞋 领带 高跟鞋
local k=10 q=0.1,足球,280,29,,乒乓球 田径 网球 体操 羽毛球 篮球 排球 举重,跳远 球拍 选手 棒球 田径 羽毛球 双打 运动员,体育 选手 啦啦队 单打 双打 长跑,举重 乒乓球 体操 体育 单打 双打 台球 啦啦队 打球 排球 摔跤 棒球 游泳 滑冰 球拍 田径 竞技 篮球 网球 羽毛球 足球 跳远 跳高 运动 运动会 运动员 选手 长跑 高尔夫球
local k=10 q=0.1,老师,534,9,,师父 师傅 徒弟 弟子 大师 前辈 老师 泰斗,大师 弟子 前辈 老师 徒弟 泰斗 师父 元老,老师 师父 泰斗 元老 师傅 徒弟,元老 前辈 大师 师傅 师父 弟子 徒弟 泰斗 老师
local k=10 q=0.1,焦虑,664,20,,疲倦 烦躁 疲惫 焦躁 烦闷 厌烦 疲惫不堪 劳累,无聊 压抑 力不从心 烦 疲倦 抑郁 劳累 烦躁,无聊 力不从心 抑郁 劳累 忧郁 吃力,力不从心 劳累 压抑 厌倦 厌烦 吃力 忧郁 抑郁 无精打采 无聊 烦 烦躁 烦闷 焦虑 焦躁 疲倦 疲劳 疲惫 疲惫不堪 精疲力竭
local k=10 q=0.1,政策,278,8,,举措 措施 策略 政策 决策 对策 战略 部署,策略 战略 决策 对策 政策 部署 措施 举措,战略 部署 对策 政策 措施 策略,举措 决策 对策 战略 措施 政策 策略 部署
local k=10 q=0.1,合同,700,17,,签订 签署 协议 协议书 合同 订立 签约 签,达成 协议 约定 生效 意向 契约 签署 签,签名 生效 达成 意向 契约 协定,协定 协议 协议书 合同 合约 契约 意向 生效 签 签名 签字 签约 签署 签订 约定 订立 达成
local k=10 q=0.1,银行,461,9,,存款 活期 理财 余额 储蓄 零钱 银行 现金,活期 宝 现金 理财 储蓄 零钱 余额 存款,零钱 余额 现金 宝 储蓄 银行,余额 储蓄 存款 宝 活期 现金 理财 银行 零钱
local k=10 q=0.1,软件,588,21,,硬盘 电脑 显示器 屏幕 键盘 鼠标 磁盘 笔记本,液晶 内存 计算机 服务器 电脑 芯片 硬盘 手机,键 液晶 浏览器 手机 笔记本 计算机,内存 屏幕 手机 打印机 按键 显示器 服务器 杀毒 浏览器 液晶 电脑 硬件 硬盘 磁盘 笔记本 芯片 计算机 软件 键 键盘 鼠标
local k=10 q=0.1,感冒,167,23,,咳嗽 头晕 疼痛 呕吐 痒 腹泻 疼 发炎,胀 疼痛 咳嗽 喘 心慌 不适 出汗 发烧,喘 心慌 过敏 出血 感冒 失眠,不适 出汗 出血 发炎 发烧 发热 呕吐 咳 咳嗽 喘 失眠 头晕 心慌 感冒 晕车 疼 疼痛 痒 痛 肿 胀 腹泻 过敏
local k=10 q=0.1,火车,566,20,,列车 火车 电车 公共汽车 公交车 慢车 车站 车厢,地铁 公交车 火车 公共汽车 巴士 电车 慢车 卧铺,出租车 长途 晚点 地铁 大巴 卧铺,公交车 公共汽车 出租车 列车 卧铺 地铁 地铁站 大巴 巴士 快车 慢车 晚点 火车 特快 电车 站台 缆车 车厢 车站 长途
local k=10 q=0.1,妈妈,433,36,,奶奶 爷爷 舅舅 姑姑 爸爸 姥姥 爸 姥爷,爹 叔叔 姑姑 姨 岳父 母 父亲 姥爷,大妈 大爷 母 姨 继母 老大,伯伯 伯母 伯父 叔叔 外公 外婆 大人 大哥 大妈 大姐 大爷 奶奶 妈 妈妈 姑姑 姥姥 姥爷 姨 岳母 岳父 母 母亲 父亲 父母 爷爷 爸 爸爸 爹 祖母 祖父 继母 继父 老大 舅舅 长辈 阿姨
local k=10 q=0.1,为什么,247,12,,为什么 难道 难怪 怪不得 因为 为何 既然 所以,以为 既然 难怪 因为 为何 所以 为什么 莫非,敢情 所以 因为 既然 以为 莫非,为什么 为何 之所以 以为 因为 怪不得 所以 敢情 既然 莫非 难怪 难道
local k=10 q=0.1,公斤,348,26,,公斤 斤 千克 平方米 公顷 立方米 亩 吨,桶 尺 公斤 多元 千克 毫升 吨 立方,面积 美元 毫升 寸 克 桶,亩 倍 元 克 公斤 公里 公顷 千克 厘米 吨 多元 寸 尺 平方 平方米 斤 桶 毫升 毫米 磅 立方 立方米 米 美元 美金 面积
local k=10 q=0.1,花,584,14,,挣 赚 挣钱 钱 攒 零花钱 掏 掏钱,养活 掏 花 钱 零花钱 捞 赚 掏钱,捞 花 养活 凑 掏钱 掏,养活 凑 挣 挣钱 捞 掏 掏钱 攒 私房钱 花 赚 赚钱 钱 零花钱
local k=10 q=0.1,行,770,2,,哄 行,行 哄,哄 行,哄 行
